Coefficient,TrnsCoef,PermCoef
Cohort,-0.00258325,0.0000919
a25,0.175891,
a26,0.1263058,
a27,0.1379884,0.0567978
a28,0.1452164,0.0443215
a29,0.1492134,0.0381224
a30,0.1501629,0.0352826
a31,0.1513783,0.0310048
a32,0.1518617,0.0294115
a33,0.1501516,0.0283312
a34,0.1505082,0.0260401
a35,0.1498385,0.0235844
a36,0.1470933,0.0243296
a37,0.1455812,0.0210288
a38,0.1431136,0.021909
a39,0.1413441,0.0196499
a40,0.1388139,0.0206774
a41,0.1378444,0.018679
a42,0.1343731,0.0210048
a43,0.1318122,0.0194131
a44,0.1285845,0.0201628
a45,0.1265368,0.0204655
a46,0.1234034,0.0204775
a47,0.1209814,0.020041
a48,0.117008,0.0220443
a49,0.1118889,0.0236517
a50,0.1085887,0.0241436
a51,0.1065051,0.0275533
a52,0.1022637,0.0295752
a53,0.096464,0.0320284
a54,0.0907306,0.0357803
a55,0.1279553,
