United States life table functions and actuarial functions at 2.3 percent interest
based on the historical mortality probabilities used in the 2020 Trustees Report.
Females
,,,,,,,o,,,,,..,    ..    (12)
Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
1900,0,0.119694,100000,11969,92047,4895685,48.96,100000,41417,0.4142,2605686,26.0569,307.18
1900,1,0.036172,88031,3184,86438,4803638,54.57,86051,29716,0.3453,2505686,29.1185,343.92
1900,2,0.017817,84846,1512,84090,4717200,55.60,81074,26674,0.3290,2419634,29.8447,352.64
1900,3,0.012922,83335,1077,82796,4633109,55.60,77839,25262,0.3245,2338560,30.0435,355.02
1900,4,0.010310,82258,848,81834,4550313,55.32,75106,24278,0.3233,2260721,30.1004,355.71
1900,5,0.007611,81410,620,81100,4468479,54.89,72660,23521,0.3237,2185615,30.0799,355.46
1900,6,0.005501,80790,444,80568,4387380,54.31,70486,22981,0.3260,2112955,29.9769,354.22
1900,7,0.003987,80346,320,80185,4306812,53.60,68522,22602,0.3298,2042468,29.8073,352.19
1900,8,0.003057,80025,245,79903,4226626,52.82,66715,22335,0.3348,1973946,29.5878,349.55
1900,9,0.002648,79781,211,79675,4146723,51.98,65016,22135,0.3405,1907231,29.3350,346.52
1900,10,0.002641,79569,210,79464,4067048,51.11,63385,21967,0.3466,1842216,29.0637,343.26
1900,11,0.002868,79359,228,79245,3987584,50.25,61797,21803,0.3528,1778830,28.7852,339.92
1900,12,0.003138,79132,248,79008,3908338,49.39,60234,21630,0.3591,1717033,28.5060,336.57
1900,13,0.003322,78883,262,78752,3829331,48.54,58695,21445,0.3654,1656799,28.2272,333.23
1900,14,0.003462,78621,272,78485,3750579,47.70,57185,21255,0.3717,1598104,27.9463,329.86
1900,15,0.003704,78349,290,78204,3672093,46.87,55706,21061,0.3781,1540919,27.6618,326.44
1900,16,0.004106,78059,321,77899,3593889,46.04,54252,20860,0.3845,1485214,27.3764,323.02
1900,17,0.004564,77738,355,77561,3515991,45.23,52814,20642,0.3908,1430962,27.0943,319.63
1900,18,0.005063,77384,392,77188,3438430,44.43,51391,20406,0.3971,1378148,26.8169,316.30
1900,19,0.005582,76992,430,76777,3361242,43.66,49981,20152,0.4032,1326757,26.5451,313.04
1900,20,0.006149,76562,471,76327,3284465,42.90,48585,19879,0.4092,1276776,26.2793,309.85
1900,21,0.006700,76091,510,75836,3208139,42.16,47200,19587,0.4150,1228191,26.0208,306.75
1900,22,0.007124,75581,538,75312,3132303,41.44,45830,19278,0.4206,1180991,25.7689,303.73
1900,23,0.007368,75043,553,74767,3056990,40.74,44481,18959,0.4262,1135161,25.5204,300.74
1900,24,0.007478,74490,557,74212,2982224,40.04,43160,18639,0.4318,1090680,25.2705,297.75
1900,25,0.007541,73933,558,73654,2908012,39.33,41874,18323,0.4376,1047520,25.0158,294.69
1900,26,0.007627,73375,560,73096,2834358,38.63,40624,18014,0.4434,1005645,24.7549,291.56
1900,27,0.007737,72816,563,72534,2761263,37.92,39408,17711,0.4494,965021,24.4880,288.36
1900,28,0.007897,72252,571,71967,2688728,37.21,38224,17413,0.4556,925613,24.2156,285.09
1900,29,0.008091,71682,580,71392,2616761,36.51,37069,17118,0.4618,887390,23.9386,281.76
