United States life table functions and actuarial functions at 2.3 percent interest
based on the Alternative 2 mortality probabilities used in the 2020 Trustees Report.
Males
,,,,,,,o,,,,,..,    ..    (12)
Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
2018,0,0.006045,100000,605,99472,7625423,76.25,100000,19165,0.1916,3595407,35.9541,425.95
2018,1,0.000411,99395,41,99375,7525951,75.72,97161,18574,0.1912,3495407,35.9755,426.21
2018,2,0.000280,99355,28,99341,7426576,74.75,94937,18535,0.1952,3398246,35.7947,424.04
2018,3,0.000221,99327,22,99316,7327235,73.77,92777,18509,0.1995,3303309,35.6049,421.76
2018,4,0.000157,99305,16,99297,7227919,72.79,90671,18489,0.2039,3210532,35.4086,419.40
2018,5,0.000145,99289,14,99282,7128622,71.80,88618,18475,0.2085,3119861,35.2055,416.97
2018,6,0.000136,99275,14,99268,7029340,70.81,86614,18462,0.2132,3031243,34.9973,414.47
2018,7,0.000127,99261,13,99255,6930072,69.82,84655,18451,0.2180,2944629,34.7840,411.91
2018,8,0.000115,99249,11,99243,6830817,68.83,82741,18440,0.2229,2859975,34.5654,409.29
2018,9,0.000103,99237,10,99232,6731574,67.83,80871,18431,0.2279,2777234,34.3414,406.60
2018,10,0.000095,99227,9,99223,6632342,66.84,79045,18423,0.2331,2696362,34.1117,403.84
2018,11,0.000103,99218,10,99213,6533119,65.85,77261,18416,0.2384,2617317,33.8765,401.02
2018,12,0.000137,99208,14,99201,6433906,64.85,75516,18408,0.2438,2540057,33.6361,398.13
2018,13,0.000205,99194,20,99184,6334706,63.86,73808,18398,0.2493,2464541,33.3913,395.20
2018,14,0.000300,99174,30,99159,6235522,62.87,72134,18383,0.2548,2390733,33.1431,392.22
2018,15,0.000403,99144,40,99124,6136363,61.89,70491,18362,0.2605,2318600,32.8923,389.21
2018,16,0.000510,99104,50,99079,6037239,60.92,68878,18334,0.2662,2248109,32.6390,386.17
2018,17,0.000630,99053,62,99022,5938160,59.95,67295,18300,0.2719,2179231,32.3832,383.10
2018,18,0.000766,98991,76,98953,5839138,58.99,65741,18258,0.2777,2111936,32.1253,380.00
2018,19,0.000910,98915,90,98870,5740185,58.03,64213,18209,0.2836,2046195,31.8655,376.89
2018,20,0.001063,98825,105,98773,5641315,57.08,62713,18152,0.2894,1981982,31.6042,373.75
2018,21,0.001209,98720,119,98660,5542542,56.14,61237,18087,0.2954,1919269,31.3414,370.60
2018,22,0.001328,98601,131,98535,5443882,55.21,59788,18014,0.3013,1858032,31.0768,367.42
2018,23,0.001410,98470,139,98400,5345347,54.28,58366,17937,0.3073,1798244,30.8095,364.21
2018,24,0.001462,98331,144,98259,5246946,53.36,56974,17856,0.3134,1739877,30.5382,360.96
2018,25,0.001505,98187,148,98113,5148687,52.44,55611,17775,0.3196,1682903,30.2618,357.64
2018,26,0.001552,98039,152,97963,5050574,51.52,54279,17693,0.3260,1627292,29.9800,354.26
2018,27,0.001598,97887,156,97809,4952611,50.60,52977,17611,0.3324,1573013,29.6926,350.81
2018,28,0.001650,97731,161,97650,4854801,49.68,51703,17528,0.3390,1520036,29.3995,347.29
2018,29,0.001704,97570,166,97487,4757151,48.76,50457,17445,0.3457,1468333,29.1007,343.71
2018,30,0.001758,97403,171,97318,4659665,47.84,49239,17361,0.3526,1417876,28.7961,340.05
2018,31,0.001808,97232,176,97144,4562347,46.92,48047,17276,0.3596,1368638,28.4855,336.33
2018,32,0.001857,97056,180,96966,4465203,46.01,46882,17191,0.3667,1320591,28.1686,332.52
2018,33,0.001905,96876,185,96784,4368237,45.09,45743,17106,0.3740,1273709,27.8452,328.64
2018,34,0.001952,96692,189,96597,4271453,44.18,44629,17021,0.3814,1227967,27.5150,324.68
2018,35,0.002008,96503,194,96406,4174856,43.26,43540,16936,0.3890,1183338,27.1779,320.63
2018,36,0.002070,96309,199,96209,4078450,42.35,42476,16850,0.3967,1139797,26.8339,316.51
2018,37,0.002129,96110,205,96007,3982240,41.43,41435,16764,0.4046,1097321,26.4829,312.29
2018,38,0.002184,95905,209,95800,3886233,40.52,40417,16678,0.4126,1055886,26.1246,307.99
2018,39,0.002242,95696,215,95588,3790432,39.61,39422,16592,0.4209,1015469,25.7587,303.60
2018,40,0.002314,95481,221,95371,3694844,38.70,38450,16505,0.4293,976046,25.3851,299.12
2018,41,0.002411,95260,230,95145,3599473,37.79,37498,16418,0.4378,937597,25.0038,294.55
2018,42,0.002533,95030,241,94910,3504328,36.88,36567,16330,0.4466,900098,24.6152,289.88
2018,43,0.002686,94790,255,94662,3409418,35.97,35654,16239,0.4555,863532,24.2197,285.14
2018,44,0.002872,94535,272,94399,3314756,35.06,34759,16146,0.4645,827878,23.8178,280.31
2018,45,0.003085,94264,291,94118,3220356,34.16,33880,16048,0.4737,793119,23.4098,275.42
2018,46,0.003333,93973,313,93816,3126238,33.27,33016,15946,0.4830,759239,22.9962,270.45
2018,47,0.003634,93660,340,93489,3032422,32.38,32166,15838,0.4924,726223,22.5773,265.43
2018,48,0.003994,93319,373,93133,2938933,31.49,31329,15724,0.5019,694057,22.1541,260.35
2018,49,0.004410,92946,410,92741,2845800,30.62,30502,15602,0.5115,662729,21.7275,255.23
2018,50,0.004865,92537,450,92311,2753058,29.75,29685,15470,0.5212,632227,21.2981,250.08
2018,51,0.005355,92086,493,91840,2660747,28.89,28876,15329,0.5309,602542,20.8665,244.90
2018,52,0.005890,91593,540,91323,2568907,28.05,28076,15178,0.5406,573666,20.4329,239.69
2018,53,0.006471,91054,589,90759,2477584,27.21,27283,15016,0.5504,545590,19.9976,234.47
2018,54,0.007094,90464,642,90144,2386825,26.38,26497,14844,0.5602,518308,19.5611,229.23
2018,55,0.007762,89823,697,89474,2296681,25.57,25717,14660,0.5700,491811,19.1237,223.98
2018,56,0.008466,89125,755,88748,2207207,24.77,24944,14465,0.5799,466093,18.6856,218.73
2018,57,0.009187,88371,812,87965,2118459,23.97,24177,14258,0.5898,441149,18.2468,213.46
2018,58,0.009919,87559,868,87125,2030494,23.19,23416,14041,0.5996,416973,17.8071,208.19
2018,59,0.010670,86691,925,86228,1943369,22.42,22663,13814,0.6096,393557,17.3659,202.89
2018,60,0.011484,85766,985,85273,1857141,21.65,21917,13578,0.6195,370894,16.9229,197.57
2018,61,0.012356,84781,1048,84257,1771868,20.90,21178,13332,0.6295,348977,16.4784,192.24
2018,62,0.013235,83733,1108,83179,1687611,20.15,20446,13076,0.6395,327799,16.0325,186.89
2018,63,0.014113,82625,1166,82042,1604432,19.42,19722,12812,0.6496,307353,15.5845,181.51
2018,64,0.015021,81459,1224,80847,1522390,18.69,19006,12540,0.6598,287632,15.1335,176.10
2018,65,0.016047,80235,1287,79592,1441543,17.97,18300,12260,0.6700,268625,14.6790,170.65
2018,66,0.017203,78948,1358,78269,1361952,17.25,17601,11973,0.6803,250325,14.2219,165.16
2018,67,0.018430,77590,1430,76875,1283683,16.54,16910,11677,0.6906,232724,13.7627,159.65
2018,68,0.019725,76160,1502,75409,1206808,15.85,16225,11373,0.7009,215814,13.3014,154.12
2018,69,0.021142,74657,1578,73868,1131400,15.15,15547,11060,0.7114,199589,12.8376,148.55
2018,70,0.022776,73079,1664,72247,1057531,14.47,14876,10739,0.7219,184042,12.3714,142.96
2018,71,0.024678,71415,1762,70533,985285,13.80,14211,10407,0.7324,169166,11.9041,137.35
2018,72,0.026838,69652,1869,68718,914751,13.13,13548,10065,0.7429,154955,11.4371,131.75
2018,73,0.029287,67783,1985,66790,846034,12.48,12888,9709,0.7533,141406,10.9716,126.16
2018,74,0.032064,65798,2110,64743,779244,11.84,12230,9340,0.7637,128518,10.5087,120.60
2018,75,0.035316,63688,2249,62563,714501,11.22,11571,8957,0.7741,116288,10.0497,115.10
2018,76,0.039005,61439,2396,60240,651938,10.61,10912,8557,0.7842,104717,9.5967,109.66
2018,77,0.042976,59042,2537,57774,591697,10.02,10250,8141,0.7942,93805,9.1514,104.32
2018,78,0.047202,56505,2667,55171,533923,9.45,9589,7711,0.8041,83555,8.7134,99.06
2018,79,0.051836,53838,2791,52442,478752,8.89,8931,7268,0.8138,73966,8.2817,93.88
2018,80,0.057190,51047,2919,49587,426310,8.35,8278,6816,0.8234,65034,7.8564,88.78
2018,81,0.063386,48128,3051,46602,376723,7.83,7629,6353,0.8327,56757,7.4396,83.77
2018,82,0.070326,45077,3170,43492,330120,7.32,6985,5880,0.8419,49128,7.0335,78.90
2018,83,0.078060,41907,3271,40271,286628,6.84,6348,5400,0.8507,42143,6.6392,74.17
2018,84,0.086711,38636,3350,36961,246357,6.38,5721,4916,0.8593,35795,6.2573,69.59
2018,85,0.096421,35285,3402,33584,209397,5.93,5107,4431,0.8676,30075,5.8889,65.17
2018,86,0.107313,31883,3421,30172,175812,5.51,4511,3949,0.8756,24968,5.5350,60.92
2018,87,0.119476,28462,3400,26761,145640,5.12,3936,3476,0.8832,20457,5.1971,56.86
