Educ,YEAR,Age_grp,w.obs,obs,lnWealth.mean,lnWealth.sd,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd,BASE_YR
NoHS,1995,"(15,20]",254159.0751330069,45,2.0390492989171642,1.8723637720094584,-1.1415928747499353,1.2123861616412062,3.1806421736670996,0.9174337184338497,2019
NoHS,1995,"(20,25]",471238.6505663131,79,2.061075096679409,1.6103075901874595,-1.0611984728537684,1.475816500147777,3.122273569533178,0.7264931123240703,2019
NoHS,1995,"(25,30]",567079.7571388013,91,2.699733637877628,1.209762491580228,-0.8866317828863428,1.2315962819299662,3.586365420763971,0.6698676085870335,2019
NoHS,1995,"(30,35]",561122.6223094718,101,2.41600588350625,1.5320710288200308,-0.8548681211202709,1.1991765252775426,3.270874004626521,0.5956165986325258,2019
NoHS,1995,"(35,40]",980859.5982391366,175,2.9307459801903732,2.2791542495407664,-0.6016033428134426,1.9953057547195632,3.5323493230038157,0.7997432616998629,2019
NoHS,1995,"(40,45]",982487.0230649995,156,2.9176029574671842,1.8728583152618197,-0.7363269281003587,1.596555880516999,3.6539298855675426,0.6911510104816453,2019
NoHS,1995,"(45,50]",633992.145392498,105,3.4199687960730243,2.309363786159219,-0.4190314243418286,1.9555160932013003,3.8390002204148526,0.7271902980487227,2019
NoHS,1995,"(50,55]",1052664.078934471,181,3.9631314091344145,1.8344938408406024,0.2990282993921788,1.3378004535780876,3.664103109742236,0.8777065641211838,2019
NoHS,1995,"(55,60]",1081293.7543381394,161,4.1504868798536725,1.911276924541766,0.19315782814324792,1.6593916577375334,3.957329051710425,0.6181058008509499,2019
NoHS,1995,"(60,65]",1640435.4511792683,235,3.959522759912683,1.6962859319952326,0.6456781133666262,1.5088286804187747,3.313844646546057,0.9056069353413314,2019
NoHS,1995,"(65,70]",1911024.4533374945,270,4.530708167607755,1.7998103033830657,1.1542216733317936,1.5364293575243984,3.3764864942759614,0.8101756999385431,2019
NoHS,1995,"(70,75]",1869302.2394106474,262,4.72787522403732,1.4587629273517413,1.539672904646723,1.3450234888023387,3.188202319390597,0.7480723782422178,2019
NoHS,1995,"(75,80]",1759377.6172246474,238,3.8352902921380116,1.9322708397465354,1.0709321873867144,1.747853603356272,2.7643581047512975,1.1130351079024319,2019
NoHS,1995,"(80,85]",913703.7079329834,130,3.8389114311169017,1.8296407346983814,1.0226254223620126,1.8725773690147332,2.816286008754889,0.9604688582067351,2019
NoHS,1995,"(85,90]",440249.00659021793,57,3.9876507914831483,2.0256176194100175,0.9362979207019342,1.7117255209925282,3.051352870781214,0.6286227833855311,2019
NoHS,1995,"(90,95]",138470.92246808432,28,4.197219923126586,2.4858484887741232,1.2994659267630355,2.637533758630498,2.897753996363551,0.7106677267823902,2019
NoHS,1998,"(15,20]",111297.21483771286,19,1.6351231450084378,2.3115122394284016,-1.5265284687826273,1.9864058689100768,3.161651613791065,0.3903841497164726,2019
NoHS,1998,"(20,25]",648729.817998217,109,1.6213284658040783,1.853579365617018,-1.4577789856136514,1.9964709753027032,3.0791074514177295,0.9282504430113926,2019
NoHS,1998,"(25,30]",864616.4014484201,141,2.41934701916797,1.7972472421394228,-0.886000236199471,1.5496466037080503,3.305347255367441,0.7834627135418694,2019
NoHS,1998,"(30,35]",758060.7347963224,126,2.227525027493211,1.8547399538499112,-1.4113028332665893,1.6358556545763951,3.6388278607598004,0.6846238155897263,2019
NoHS,1998,"(35,40]",1252330.0085377665,196,3.3239295510622715,2.2840788362948157,-0.34838544297338986,2.0737273959986937,3.6723149940356614,0.7396151580516056,2019
NoHS,1998,"(40,45]",754737.3267919559,136,3.60169061209688,1.392766963470353,-0.05051686847472791,1.3563440875464057,3.652207480571608,0.9061352082622736,2019
NoHS,1998,"(45,50]",756064.1495596407,123,3.782762178862576,1.4105031448515455,0.10711096578327702,1.258835604021331,3.675651213079299,0.902520307324946,2019
NoHS,1998,"(50,55]",961974.562666491,152,4.134130925390506,1.9248975453855477,0.5334697275351005,1.597859102854461,3.600661197855406,0.999785069338481,2019
NoHS,1998,"(55,60]",1265772.2073251319,205,4.190847084639045,1.9443863465095592,0.5740938575743559,1.6705295585981568,3.6167532270646885,0.7924869612113813,2019
NoHS,1998,"(60,65]",859910.6181941511,136,3.8495684074305894,2.0743432534325668,0.3880216519464565,1.9943288377636523,3.461546755484133,0.6459499717094644,2019
NoHS,1998,"(65,70]",1114864.7143920055,155,3.3628176580211537,2.514723627985684,0.5380463660580382,2.074666847600282,2.824771291963115,1.3035400795133012,2019
NoHS,1998,"(70,75]",1435101.324025731,234,4.072073144930316,1.8432857490634431,0.9958494689716326,1.5084762571127888,3.0762236759586834,0.7764276667779851,2019
NoHS,1998,"(75,80]",1308262.7749921551,165,4.182986218730126,2.1756194479749986,1.1070407224155705,2.0960048832978866,3.075945496314555,0.769146152324175,2019
NoHS,1998,"(80,85]",1090401.7043019878,130,4.668332238387552,1.4042815590357296,1.7078153966433638,1.4127278910345957,2.960516841744188,0.7304158804291525,2019
NoHS,1998,"(85,90]",344003.1951173016,48,3.909228323621559,2.8281610120906855,1.1610533294774716,2.455615497034932,2.748174994144087,0.8397716495821361,2019
NoHS,1998,"(90,95]",180245.52656928354,25,3.983900468639974,2.3201530686499336,1.1995053363755193,2.241927810135738,2.7843951322644545,0.7574024553920288,2019
NoHS,2001,"(15,20]",113545.30896558195,15,2.972124036173893,0.7804681866901584,-0.29239860127400746,1.4910691854195197,3.2645226374479006,0.7262349698935744,2019
NoHS,2001,"(20,25]",569595.5813429527,91,2.0234621318327597,1.9306124627122412,-1.5126010457095127,1.7064770166421845,3.5360631775422724,0.6024643003988907,2019
NoHS,2001,"(25,30]",670218.2362365621,110,2.558756877598683,1.5898884713544965,-0.8151757914382627,1.4786712364239873,3.3739326690369458,0.5563910843677695,2019
NoHS,2001,"(30,35]",866248.2430145431,141,3.2209582772358805,1.6673190555855242,-0.40994959187587315,1.5680159789424912,3.630907869111754,0.7691850206744024,2019
NoHS,2001,"(35,40]",667179.1448082414,114,2.313197610116022,1.6156028265725733,-1.1091096927379844,1.5790189116119764,3.4223073028540063,0.5333332458056308,2019
NoHS,2001,"(40,45]",952755.1173981486,168,3.3073532264712933,2.1099675472253763,-0.3565839420255624,1.9983224270782682,3.663937168496856,0.7807178849721856,2019
NoHS,2001,"(45,50]",945795.4036474751,175,3.214826140728113,2.1107567903907105,-0.4526053776406059,1.6306962306388808,3.667431518368719,0.8682241627012787,2019
