wealth_income_ratio,age_group,weight
-7.278331,1,.7919394
-3.352119,1,1.077116
-2.806893,1,.6973649
-2.053807,1,1.283598
-1.629471,1,.8323343
 -1.42016,1 ,.818994
-1.274307,1,.8566858
 -1.11702,1,.7354656
-1.091087,1,.9976413
-.9850314,1,.7813509
-.9656265,1,.8889729
-.9253121,1,1.057292
 -.899695,1,.9466035
-.8299303,1 ,.890588
 -.812595,1,1.869985
-.7882341,1,.8057681
-.7869177,1,.8014933
-.6918034,1,1.634311
-.6831914,1 ,.881384
-.6659861,1,.9229636
-.6609519,1,1.142049
-.6391214,1,1.008117
 -.599839,1,1.076386
-.5505417,1,.8633595
-.5389788,1,.6785128
-.5188019,1,1.081038
-.5126372,1,.7898264
-.5109465,1,1.280624
-.4946782,1,.9332498
-.4766116,1,1.566128
 -.465877,1,1.863954
-.4540315,1,.9191576
-.4486161,1,.6700751
-.4470559,1,.7423913
-.4295197,1,1.073492
-.4249749,1,1.151995
-.4122496,1,1.007923
-.4054797,1,.6364754
-.3538077,1,1.721592
-.3473591,1,1.037425
-.3467194,1,.7459993
-.3283586,1,.6364754
-.3246621,1,1.160917
-.3025178,1,1.706382
-.2955485,1,1.027948
-.2953791,1,1.639488
-.2915711,1,.7920528
-.2819163,1,1.289271
-.2807718,1,.9229636
-.2757939,1,.9146178
 -.268415,1,1.064077
-.2563871,1 ,1.18782
 -.248923,1,1.042683
-.2484222,1,.7309287
-.2345723,1,.6592572
-.2079935,1,.8332959
 -.207988,1,1.043408
-.1961349,1 ,.961073
-.1798025,1,1.017332
-.1780192,1,1.099453
-.1769906,1 ,1.36187
-.1571241,1 ,1.10623
-.1527696,1,.9191576
-.1497698,1,1.376706
-.1445973,1,.9229636
-.1374587,1,.8474965
-.1153859,1 ,.861033
-.1146951,1,1.604324
-.1132503,1,1.407474
-.1108532,1,.7911471
-.1042178,1,1.170799
-.0998007,1,.9284371
-.0804299,1,1.113341
-.0799255,1,.9347388
 -.077218,1,1.524214
-.0705655,1,1.261582
-.0624957,1,.7340624
-.0593102,1   ,1.007
-.0585578,1,1.052421
-.0584118,1,.8179243
 -.056384,1,1.944564
-.0503634,1,.7485954
-.0454822,1,1.056103
-.0443961,1,.6700697
-.0369744,1,.7300747
-.0358081,1,.8620316
-.0258416,1,.7970695
-.0221961,1 ,.842134
-.0208272,1,.7354656
 -.017334,1,1.685536
-.0163349,1,1.154953
-.0161709,1,.8776652
-.0143902,1,.8478131
  -.01375,1,1.006895
-.0067059,1,1.458626
-.0059591,1,.9462281
-.0044075,1 ,1.10151
-.0042296,1,.8581439
        0,1,1.113853
        0,1,.9396044
        0,1 ,1.26719
        0,1,.8226658
        0,1,.9522974
        0,1,1.003125
 .0035653,1,.1859959
 .0049598,1,.6381109
 .0085368,1,1.042941
 .0139911,1,.7915969
 .0158142,1  ,.72043
 .0192228,1,.9823482
  .019874,1 ,.864611
 .0202789,1,.9378158
 .0230453,1,.9508281
 .0262812,1,1.589363
 .0273577,1,.5182984
 .0295603,1,.8650193
 .0354275,1,.9301364
 .0354485,1,.8290588
 .0382499,1,.9110464
 .0404041,1,.7836123
 .0411844,1,1.069607
 .0425427,1,1.609886
 .0449704,1,1.047927
 .0466193,1,1.004406
 .0476406,1 ,.818697
 .0516934,1 ,.628516
 .0541328,1,.7711346
 .0599026,1,1.437722
 .0613313,1,1.046487
 .0651331,1,.9142051
 .0658052,1 ,1.00956
 .0661684,1,1.044946
 .0662702,1,1.198529
 .0709369,1,.6246008
  .071769,1,1.206716
 .0724464,1 ,.837014
 .0780589,1,.7679413
 .0809911,1,1.017687
 .0832415,1,.9575318
 .0870342,1 ,.837799
 .0895516,1,.8028907
 .0901074,1,1.323332
 .0949119,1 ,1.18993
 .0969025,1 ,.781221
 .0972556,1,1.331441
 .0983108,1,1.251597
 .1028942,1,1.018492
