time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	-0.0057150212222270014	-0.0045891026226523302	-0.013342518575032436	85.185264529164371	0.99501356321760759	-0.01440562076880747	-0.030354134362031715	-0.016961282539691425	0.0013067273435898679	2.0
1.0	-0.0095016340182763059	-0.0053716490496569236	-0.002544776151200967	85.531373119284339	1.0025275547192944	-0.017494435639642258	-0.032504175403442304	-0.017879600164777187	-0.0028232576250294783	2.0
2.0	-0.0026009644049973524	-0.005408905759958671	-0.0090848241338248314	85.432100436875331	0.99746904867329766	-0.022519592299530267	-0.040353206125536278	-0.02232934164893674	-1.5316270068427742e-05	2.0
3.0	-0.0048388575709950032	-0.0059892787940944991	-0.0079178480386277172	85.758773184089449	0.99883083979567888	-0.023959086645589434	-0.039032891696257899	-0.024223906632226733	0.0011351049530312336	2.0
4.0	-0.0095372464138812063	-0.0070866330709842273	-0.013424946248824288	86.489387538822868	0.99883083979567888	-0.02918617382990174	-0.047846645590986725	-0.028503382983120495	-0.0013155083898656844	2.0
5.0	0.0002150056961323088	-0.0015855599392025077	0.0019531139800554875	85.383147225898796	0.99501356321760759	-0.028547612044747428	-0.04329876689857981	-0.028890982396978071	0.00048505724546930054	3.0
6.0	-0.0069145432416735098	-0.0066277908978373823	-0.0047806472724629678	85.704922928157686	0.99999505378669262	-0.036179866910038161	-0.044755300067392145	-0.033072268220678769	0.00019830490163284556	2.0
7.0	-0.0051646155575171271	-0.004974150576174452	0.0039864082049820837	84.774838389044348	0.99999505378669262	-0.041633070710560993	-0.045156038234935636	-0.041923459369588745	7.8399202903246091e-06	2.0
8.0	-0.0066009160003237533	-0.0062741028156922951	-0.011156738602382088	85.529542460487633	1.0025275547192944	-0.043318070903600958	-0.042970258262285288	-0.037849407986182637	-0.00031897326434100515	2.0
9.0	-0.0081633726783443272	-0.0092734319149507805	-0.0092185126069583845	85.763317147211254	1.0011606406084814	-0.047219853768894815	-0.049643994718042705	-0.045318693487014006	0.00079108597226532431	1.0
10.0	-0.0095955566715066887	-0.011002273078436264	-0.010527902087449359	86.366498094045738	1.0025275547192944	-0.052813221087372408	-0.051087072671667233	-0.056201813128978095	0.0021978023791949827	0.0
11.0	-0.013149782767011065	-0.0091889232518438391	-0.01699077320333453	86.816779334828581	0.99501356321760759	-0.056012865545121748	-0.060159997836374046	-0.058047954288975578	-0.0017630571359724227	1.0
12.0	-0.0043591511523506377	-0.0080007394663641485	-0.0018345722534389708	86.650525483355622	0.99746904867329766	-0.056926971940501669	-0.048569623840988729	-0.060602231472046242	0.00187853117804109	1.0
13.0	-0.0081025192916381883	-0.0066416674433349421	0.0028428937025597456	86.283970750597092	1.0025275547192944	-0.061983079444634104	-0.047679844118484471	-0.063024536306549805	0.0004176793297379892	1.0
14.0	-0.0061495624229728207	-0.0065450951561714099	-0.012515858366511257	86.333510720985984	0.99501356321760759	-0.061900383702968131	-0.05541505521253276	-0.063497333151213198	0.0008132120629366457	1.0
15.0	-0.0077507573713000433	-0.0048611118577177592	0.0049023415112277036	85.559224765633346	0.99746904867329766	-0.061787344984511439	-0.05449912190628714	-0.063368415907533837	-0.0020764334506456301	1.0
16.0	0.00053497373917688051	-0.0017883382868455477	-0.0013948083157035995	85.316123351901339	0.99883083979567888	-0.057301580455664691	-0.044737191619608652	-0.060491650381380158	0.00024687857537645803	2.0
17.0	-0.000673553762863488	-0.0031387430131939453	-0.0090227173510566416	85.682215148716665	0.99883083979567888	-0.051166891553907856	-0.044541396363706909	-0.054685113306748079	0.0027120678257072338	2.0
18.0	-0.009404304346446235	-0.0047195648492639464	-0.0079840990360455777	86.462675592811792	1.0050032991989473	-0.044884183324735538	-0.041997593312303128	-0.039342133845924554	-0.0019726716714751789	2.0
19.0	-0.0063887882065039037	-0.0047483918093975674	-0.0046651001826703009	86.383254688778507	1.0050032991989473	-0.040443651882289267	-0.029671920291638898	-0.039489002589661482	-0.0036130680685815845	2.0
20.0	-0.0059984792694005584	-0.0064266190363717612	-0.022129696819822131	87.112859627327566	0.99501356321760759	-0.038869531452296879	-0.049967044858022058	-0.034455896560406263	-0.0031849283016101284	2.0
21.0	-0.0059599353946389044	-0.0096309413960802281	-0.0017384166121181543	87.578812682118098	1.0050032991989473	-0.041858805405042165	-0.054548355172699958	-0.039523643238108086	0.0004860776998308697	1.0
22.0	-0.0046249168333849511	-0.0084958832186674549	-0.0073277237188171807	87.404801394935816	1.0011606406084814	-0.04380959346753821	-0.049360220525005882	-0.042989274855395276	0.0043570440851136479	1.0
23.0	-0.013348950360984713	-0.011044752982036332	-0.012715680005904062	88.441221863731869	1.0050032991989473	-0.049993234591856783	-0.066978242042137648	-0.04653318509215687	0.0020528467061650263	0.0
24.0	-0.0074681635754965114	-0.0084709934093325501	-0.012619189687838928	88.454098880236202	0.99746904867329766	-0.056675889714343786	-0.078202623414272976	-0.058417530326359213	0.0030556765400009431	1.0
25.0	-0.0079260890673240603	-0.0050515460375541998	-0.0045369056822537335	88.541854216336816	0.99999505378669262	-0.05858869273870404	-0.073716811745470068	-0.054561471143597995	0.00018113351023127063	2.0
26.0	-0.0064180338542869642	-0.0087908690158235991	-0.014871579195852913	88.984511966214811	0.99501356321760759	-0.062659996905263693	-0.080604291905277403	-0.062521588428384511	0.0025539686717678234	1.0
27.0	-0.0095277006092349126	-0.0064781949855152732	-0.010160592038977567	89.723114540093661	0.99883083979567888	-0.064389800081381399	-0.08609978376158467	-0.066018849677502267	-0.00049553695195183602	2.0
28.0	-0.0036861224660587055	-0.005301908585454207	0.001754697517945436	89.142249211085684	1.0011606406084814	-0.063265089630463844	-0.062215389423817102	-0.064142501412065123	0.0011202491674437408	2.0
29.0	-0.0068665156268483685	-0.0052579105977699214	-0.0079713255902444935	89.003970832439535	0.99746904867329766	-0.058892058832153538	-0.068448298401943442	-0.052367537444890644	-0.00048835586163442873	2.0
30.0	-0.009088478443333603	-0.0085733138122603414	-0.01027731050563041	89.202015490355905	0.99501356321760759	-0.058969489425746424	-0.071397885188756671	-0.058299681799043324	-0.0010035204927080852	1.0
31.0	-0.0064352703832519786	-0.0076812327273181324	-0.0040080610849437814	88.999127976125592	0.99501356321760759	-0.055605969171028224	-0.062690266267796391	-0.057140123731008075	0.0002424418513581938	1.0
32.0	-0.0060772273970082225	-0.0049649322260263418	-0.0058032479411449511	89.317463074579592	0.99883083979567888	-0.052099907987722016	-0.055874324521102414	-0.05018177988859529	-0.00086985331962375289	2.0
33.0	-0.00089650447778444331	-0.0041567783386433632	0.0029725814113816806	88.759749993602341	1.0025275547192944	-0.05120514028881118	-0.048364837427467	-0.053298179035695004	0.0023904205412351824	2.0
34.0	-0.0079757276511256414	-0.0059415725579992085	0.0015618046940630848	87.930596476304331	1.0011606406084814	-0.048355843830986789	-0.031931453537551002	-0.055622903276529634	0.00035626544810902046	1.0
35.0	-0.003033895950633525	-0.0034087652814647207	-0.012107119409202616	88.024254335317266	0.99501356321760759	-0.045286414126936236	-0.033877980907776051	-0.044933015930627818	0.00073113477893988128	2.0
