time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	0.00096888051088886429	0.0024796187792763685	0.00044519218945537897	5.0099097736159637	0.99557930605502465	0.013816632764326167	0.039137429108720923	0.010387489627524511	0.0017533443403946296	7.0
1.0	-0.0095137929397222792	-0.0039722499344689993	-0.0015708638739008532	5.0610974590167181	0.99831453862132957	0.015026202933150067	0.024180755735993095	0.014509395778560072	-0.0037881986648586434	6.0
2.0	-0.002900748764818703	-0.0066683963211602096	0.0040989404199996624	5.1037548022892585	0.99999510607391928	0.0016760350745119168	0.020446383402729494	0.0019313101348457096	-2.0551108517143049e-05	6.0
3.0	0.0072238859475938777	0.0056802704791593731	0.0025627269385216506	5.1214955137956313	0.99831453862132957	0.010389313586761664	0.025092998480873475	0.010033982670123939	0.0015230643599173684	6.0
4.0	-0.0067533721619453119	-0.0034651812043277053	-0.0013238782285208417	5.208409178734092	0.99831453862132957	0.013741119376562277	0.023163755691382314	0.014657276425505891	-0.0017651265977002353	5.0
5.0	0.00036119760826570924	-0.0020547704830965324	0.0015868695661572507	5.221361492365566	1.0016785742323322	-0.00085365017547117672	0.0042102692971613259	-0.0013143786255920553	0.00065084149366199972	6.0
6.0	0.014007142151036461	0.014391901528443621	0.0074008620288170401	5.2546778979819422	0.99557930605502465	0.0028281056068077542	0.020875644143382527	0.0069978282355829813	0.00026608211625484462	6.0
7.0	-0.0063662472927056013	-0.0061106846470485171	-0.018903298172997428	5.3025705858592262	0.99557930605502465	0.00028050819677739869	-0.0057034491324681399	-0.00010913032599374484	1.0519470597762319e-05	5.0
8.0	-0.015214452000950486	-0.014775939674373254	-0.0043735262092257365	5.3573542493152075	1.0016785742323322	-0.016975050256872223	-0.010522167531149255	-0.0096372921370797004	-0.00042799285597947597	4.0
9.0	-0.0001226077537970563	-0.0016120662009276795	0.026400422093731744	5.4277349981080629	1.0044324750173943	-0.014614866523330904	0.017449118436483342	-0.012063922260344258	0.0010614655911511486	5.0
10.0	0.016787752705382283	0.014900244754523555	-0.0069073745150419683	5.4820806888941549	0.99999510607391928	0.0069537745523528607	0.0064428035014417115	0.0024070198623244721	0.0029489735420098803	5.0
11.0	-0.010682666944850858	-0.0053680535726853829	-0.0053082447991903217	5.5867352147433191	0.99999510607391928	-0.0040945494994918952	-0.0014281682362702608	-0.0068251966759979993	-0.0023656398301555993	4.0
12.0	-0.010818741524212243	-0.015704962273892072	-0.014239807285624982	5.6751860788367452	0.99831453862132957	-0.016334330569056262	-0.014344097293374401	-0.021265730780987001	0.0025205809195242286	4.0
13.0	-0.00041081860262984909	0.0015493273550881634	0.0042976103784484673	5.7530203893865481	0.99557930605502465	-0.012730232730871566	-0.011633356481083185	-0.014127641688113299	0.00056043496180621601	4.0
14.0	-0.0064009152925676438	-0.0069316343309321973	-0.017970442283060713	5.8553538553962188	0.99557930605502465	-0.034053768590247384	-0.037004660792960942	-0.036196527973612447	0.0010911540001707705	3.0
15.0	-0.019787474473270044	-0.015910197678045645	-0.0079844592788011343	5.9371600599160868	0.99999510607391928	-0.043853281621244508	-0.026085821898764645	-0.045974735471768488	-0.0027861227950536295	3.0
