time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState
0.0	-0.0056573356322462409	-0.0045474475283442395	-0.013281716432171686	82.642818720341722	0.99875339080440195	-0.017746791500817594	-0.030467616406977038	-0.02026606651605567	0.0012881225465510516	2.0
1.0	-0.0094502451477382898	-0.0053790616823490289	-0.0025622310217561228	82.981373012298022	1.0006318886798236	-0.02029974253309641	-0.03259011080758345	-0.020679423199756908	-0.0027830609188385274	2.0
2.0	-0.0025652317558559901	-0.0053331944731445091	-0.0090559729361472385	82.887296682102459	0.99936726216832439	-0.024640015012459493	-0.040374908647260677	-0.024452473094302096	-1.5098201549839957e-05	2.0
3.0	-0.0047834077580923839	-0.0059174496244196462	-0.0078989850199464584	83.206087420087428	0.99970770994891978	-0.025948780987755438	-0.039058766887730023	-0.026209830545826929	0.0011189436647774161	2.0
4.0	-0.0093235264706188481	-0.0069078042349515201	-0.013369067661157086	83.915689957267219	0.99970770994891978	-0.03058500906935091	-0.047806061772466268	-0.029911939596494186	-0.0012967785708897738	2.0
5.0	-0.00031732523054062156	-0.0020922549454485129	0.0018988350651432118	82.845320512014737	0.99875339080440195	-0.030031355716441333	-0.04328906883078476	-0.03036983726325726	0.00047815114401789018	3.0
6.0	-0.0068109322826370722	-0.0065282626337741512	-0.0047837769650742601	83.160262694573817	0.99999876344667316	-0.036879598376471368	-0.04473270204830615	-0.033816244757192582	0.00019548149515499088	2.0
7.0	-0.0053012830963203861	-0.0051135298989917199	0.0039235459288884389	82.261688931398254	0.99999876344667316	-0.041819005021423328	-0.045129369042221201	-0.042105259212698254	7.7282978263748796e-06	2.0
8.0	-0.0063849755004572462	-0.0060628153851900457	-0.011111490060979889	82.996806132976502	1.0006318886798236	-0.043334372878269134	-0.042959142671029404	-0.037943571164376744	-0.00031443181744086619	2.0
9.0	-0.0077969937106538989	-0.008891248252501649	-0.0091897117367030212	83.224996878105131	1.0002901601521204	-0.046846559448421754	-0.049586623385976303	-0.044972467323763032	0.00077982272440688637	1.0
10.0	-0.0089834758882667565	-0.010370163883477224	-0.010492238643703189	83.809244923813822	1.0006318886798236	-0.051883528858754469	-0.051022889093532253	-0.055223875130123057	0.0021665107196173869	0.0
11.0	-0.012569719576606353	-0.0086652536065350283	-0.016913594744518257	84.242488991775289	0.99875339080440195	-0.054631332840869851	-0.060037498818104051	-0.05663744659371206	-0.0017379552504539863	1.0
12.0	-0.0043058643763633775	-0.0078956048341169982	-0.0018686515945356419	84.077477206731103	0.99936726216832439	-0.055619133440035329	-0.048537082751482608	-0.059242065714493641	0.001851785207299766	1.0
13.0	-0.0081747025462397538	-0.0067346498740423755	0.0027784032208131304	83.719157811613684	1.0006318886798236	-0.060261528368629191	-0.047657514595812689	-0.061288157276086386	0.00041173253510236476	1.0
14.0	-0.0059766771895430892	-0.0063665784447908269	-0.012469579203834069	83.76343892175062	0.99875339080440195	-0.060099844179645867	-0.055343316834572498	-0.061674056734451366	0.00080163379035004111	1.0
15.0	-0.0080389134355129954	-0.0051904098392236975	0.004824484119817507	83.010397288115428	0.99936726216832439	-0.060176724119877845	-0.05444237864364343	-0.061735284223201514	-0.0020468698059393511	1.0
16.0	0.00014653985695423088	-0.0021436935402978641	-0.0014229890269941148	82.774097256568737	0.99970770994891978	-0.056257602274985663	-0.044753877609657655	-0.059402252929574129	0.00024336359131291746	2.0
17.0	-0.00084703506395555905	-0.0032771256796020332	-0.008996163403110824	83.128940536600027	0.99970770994891978	-0.050643479702086047	-0.044560329276065458	-0.054111610055239678	0.0026734542069593711	2.0
18.0	-0.0094316405303056516	-0.0048136009670860513	-0.0079662654053358484	83.885940026282242	1.0012508247997367	-0.045086916785694875	-0.042034356037698117	-0.039623773366543436	-0.0019445853562602606	2.0
19.0	-0.0065112414648373917	-0.0048942005459653437	-0.0046709695252677985	83.809267795129657	1.0012508247997367	-0.04131586372512519	-0.029791730818447659	-0.040374806446485501	-0.0035616262751323722	2.0
20.0	-0.0056228411150907043	-0.0060448851548182692	-0.022012906000601351	84.514868300216207	0.99875339080440195	-0.039465144045826461	-0.049935985224513368	-0.035114349180794147	-0.0031395822354048776	2.0
21.0	-0.0056506438413830296	-0.0092693831462402621	-0.0017726833493310057	84.963766438361546	1.0012508247997367	-0.041999877318024348	-0.054487071794657504	-0.039697962498657535	0.0004791570694523825	1.0
22.0	-0.0043826602473679976	-0.0081985129593236117	-0.0073216652990204523	84.790691637620725	1.0002901601521204	-0.043831811832557133	-0.049339157889843888	-0.043023172673944066	0.004295009781408011	1.0
23.0	-0.012550479918327584	-0.010279089019462839	-0.012672745542863906	85.788608528294588	1.0012508247997367	-0.048920491012796274	-0.0668363875525253	-0.045509704673465379	0.0020236188825433986	0.0
24.0	-0.0070868809215438588	-0.008075432761110779	-0.012581462341363592	85.791661651938611	0.99936726216832439	-0.054852230233609189	-0.077994860866894777	-0.056569073882233978	0.0030121707221102659	1.0
25.0	-0.0080342291071187066	-0.0052006129699486703	-0.0045607117085366689	85.867848838631431	0.99999876344667316	-0.056775717523955826	-0.073559409172320622	-0.052805834317592337	0.00017855458494030435	2.0
26.0	-0.0060242396969258927	-0.0083632911339515115	-0.014819919755411082	86.285950716782011	0.99875339080440195	-0.060325407690821287	-0.080413063522395856	-0.06018896983285793	0.0025176060219657629	1.0
27.0	-0.0093615515863083587	-0.0063554639208003305	-0.010147363877703874	86.989978574031596	0.99970770994891978	-0.061786671065656273	-0.085889457874831932	-0.063392526735935872	-0.00048848164354222561	2.0
28.0	-0.003995489079206882	-0.0055882701142158098	0.0016785035254518466	86.416237468628111	1.0002901601521204	-0.061330056025053814	-0.062198048348778734	-0.06219497547748154	0.0011042993914668058	2.0
29.0	-0.0069626133519169464	-0.0053769111649875079	-0.0079722490459526174	86.271790206400667	0.99936726216832439	-0.05743758404380106	-0.068397614045400346	-0.051005956860353141	-0.00048140279546267167	2.0
30.0	-0.0088150092525705048	-0.0083071793829907481	-0.010261695646000435	86.452071866441045	0.99875339080440195	-0.057546250467468196	-0.071337644392380328	-0.056885979363446193	-0.00098923266504249486	1.0
31.0	-0.0064019992637316392	-0.0076302219648318736	-0.0040409092254249934	86.243759665066904	0.99875339080440195	-0.054897383412837231	-0.062705808074941416	-0.056409695134405524	0.00023899003605765647	1.0
32.0	-0.0062101635903268892	-0.0051137049486751351	-0.0058217047234867536	86.540907275864143	0.99970770994891978	-0.051935655600401587	-0.055946050457064578	-0.050044837241255191	-0.00085746860559406026	2.0
33.0	-0.0013647752231842336	-0.0045786302700725479	0.0028891127435846098	85.99134777430595	1.0006318886798236	-0.051313672900525464	-0.048496226004943299	-0.053376911581411557	0.0023563864412943945	2.0
34.0	-0.0081683733738420194	-0.006163179978684985	0.0014940034650976486	85.180323426213164	1.0002901601521204	-0.049113561745258938	-0.032182302784434569	-0.056277154949954555	0.00035119304613738804	1.0
35.0	-0.0032400249500696976	-0.0036095570023548795	-0.012069418197452331	85.263349288437908	0.99875339080440195	-0.046367654826813487	-0.034104357104183025	-0.046019288209394382	0.00072072509842242393	2.0
36.0	-0.0030864497450433515	-0.0017576935966234775	-0.012125758343210613	85.833481457184746	0.99875339080440195	-0.042537078309221155	-0.047908618972845485	-0.042007962132275756	-0.00060803104999749972	3.0
37.0	-0.0042058326952756353	-0.0070766036131970633	-0.008121618694628685	86.533700599436699	1.0002901601521204	-0.04423677075743071	-0.048057988621521552	-0.049001701397697994	0.0022627398679239906	2.0
38.0	-0.011920869707626958	-0.0083399498670446714	-0.0027450742548631446	85.663643290712159	0.99875339080440195	-0.044269541241484633	-0.040541367230384262	-0.04623867120600611	-0.0013181799726582357	1.0
39.0	-0.0052451145353642481	-0.0077522839478341155	-0.0017057211352853319	85.676897245328846	0.99999876344667316	-0.044391603224486875	-0.0382061791402446	-0.042119691103004619	0.0011889894398116191	1.0
40.0	-0.0088453939010679772	-0.007024530730178391	0.00035350897885866317	85.518264453728378	1.0012508247997367	-0.046302429005990131	-0.032030965437899184	-0.045555128765105923	-0.0006318737310779237	1.0
41.0	-0.009317899334670976	-0.0082579782066729557	-0.012660896087343554	85.672657714373955	0.99970770994891978	-0.049981776942590539	-0.047580974268827347	-0.047273544041593896	-0.00169179485907596	0.0
42.0	-0.006956438297276879	-0.0077670017424618099	8.2396603318324324e-05	85.657267679154444	1.0012508247997367	-0.051585598706367364	-0.048992581130606672	-0.047648820970047856	-0.00088123141389107051	0.0
43.0	-0.0074365593772445227	-0.0068688288780793805	-0.0028662368499032809	85.423815595929298	1.0012508247997367	-0.054844870582091865	-0.039789399783057622	-0.054567767004228607	-0.0014489619130562041	0.0
44.0	-0.0045999233368188008	-0.0056658450182625053	-0.0028976989367144323	84.781927284751561	0.99999876344667316	-0.058753022003730893	-0.030561340376561441	-0.061674140249414089	-0.00038304023161258845	0.0
45.0	-0.0062860441863183958	-0.0060583378238980856	-0.010270901839852575	85.173237423576637	0.99970770994891978	-0.057734756214431915	-0.032710623521785331	-0.057620250904917514	-0.00061074659403291358	0.0
46.0	-0.0056151486737820999	-0.0067880719117721089	-0.011664164877369654	85.782998260343192	0.99970770994891978	-0.056182878259159352	-0.041629714144291841	-0.05133340255366603	0.00056217664395723308	0.0
47.0	-0.0052511250646294361	-0.0057067134075998727	0.0034554278602298982	85.139856860092337	1.0002901601521204	-0.05413730771892511	-0.03646856514877661	-0.0572799836327611	0.0010177649869276557	0.0
48.0	-0.0067421060275023592	-0.0054588567126503396	-0.0084163810618289592	85.140985045779772	0.99936726216832439	-0.052571633701397058	-0.045238455189464233	-0.052700731946904611	-0.00026548432792429706	0.0
49.0	-0.0043880866454386602	-0.0046069188982660325	0.0026382582614632444	84.51814057809591	0.99970770994891978	-0.048920574392990135	-0.029939300840657435	-0.048105395633530224	-4.6652075096984464e-05	0.0
50.0	-0.0045497926772422037	-0.0051170650631910952	-0.0082151097849547661	84.928933505124064	0.99999876344667316	-0.04627063771371942	-0.038236807228930525	-0.048223688146996624	0.00052062031085182633	0.0
51.0	-0.0042545383676062531	-0.0027616674677033437	0.0017584762350053573	84.185595765943035	0.99970770994891978	-0.042163476303343383	-0.033612094144021887	-0.040874136441019226	-0.0009722505890510714	1.0
52.0	-0.00094671392538892007	-0.0031942667683622084	-0.00054247435029930458	84.295891567517032	1.0012508247997367	-0.039691898053443087	-0.031256869557606759	-0.040684541194564217	0.0012753022539222752	1.0
53.0	-0.00014268944247208815	-0.00038412221586736628	-0.0067129975264514918	83.829740146049986	0.99936726216832439	-0.034017682445412367	-0.027698965244205676	-0.033307633104902035	0.0015167350273174451	2.0
54.0	-0.0025372966473427017	-0.0013871836297143503	-0.00022537586838056178	83.791652547238201	1.0006318886798236	-0.028616794163354609	-0.016260176235216584	-0.029034121592177664	0.00036662200968918895	2.0
