time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	MrkvState
0.0	-0.0097203920626070528	-0.0082371714179690358	-0.0092606100181700235	65.629238255320146	4.0
1.0	-0.011292817914451525	-0.0058522123770582413	0.0050589104751035396	64.819054951504455	4.0
2.0	-0.0046200429649778663	-0.0083190640027188123	0.0051313846749823089	64.480239241503043	3.0
3.0	-0.00083487024524864228	-0.0023503692420459577	-0.0007014199244034236	64.052402371270603	4.0
4.0	-0.005837687819690407	-0.0026093902290984516	-0.0018070933150851065	64.101955651805511	4.0
5.0	-0.0044925181423692839	-0.0068644801326616101	-0.0018018373049439873	64.266514563415669	3.0
6.0	-0.0092830559491282605	-0.0089053048431094184	-0.0032102713670817407	64.074491054235125	2.0
7.0	-0.0040641413078392752	-0.003813233655621362	0.002129913489991031	63.982198274917749	3.0
8.0	-0.0051649439135937891	-0.0047344189515156065	-0.011060190509510348	64.659862664226225	3.0
9.0	0.0010929108930790576	-0.00036941753557229173	-0.0067540052502093051	64.575526885335165	4.0
10.0	0.0010762562584354374	-0.0007768713270729366	0.0033085176613646405	64.505227602806968	4.0
11.0	-0.0099795263192186123	-0.0047617169628177969	-0.0060971706040096052	64.377473327685706	3.0
12.0	0.00070373796161549151	-0.0040934818095624825	-0.0041946467123589182	64.249864138826638	3.0
13.0	-0.0019607348126146062	-3.6292298760676189e-05	-0.0016161093509545754	64.319248230044295	4.0
14.0	-0.001231886267358151	-0.0017529384248869961	-0.0037664753954067542	64.876320545338018	4.0
15.0	-0.0053667621718764824	-0.0015601087574561578	0.00015080612165452312	64.642976759504222	4.0
16.0	0.0027056226783983561	-0.00035497545208196257	0.0023542330094428188	63.927747991026592	4.0
17.0	0.0038885312259718807	0.00064103217016886482	0.0085374993470992422	63.247312236826858	4.0
18.0	-0.00032145165696872979	0.0058499557072900776	0.006633981470438477	62.481851587006815	5.0
19.0	0.0064939468712673643	0.0086549110852850442	0.0019179594564845415	62.22720750953394	6.0
20.0	0.0029538902040078252	0.0023898834086654164	-0.0016085596854822359	61.907436709176991	5.0
21.0	0.0065821384192087384	0.0017461654723336384	0.0023101482624657832	61.590456280066249	5.0
22.0	0.005809711905469972	0.00071032260723891127	-0.0014877473595712454	61.553038317544086	5.0
23.0	-0.0078034772548331022	-0.0047680596650819806	-0.0027870481572339623	61.783604102235763	4.0
24.0	-0.0035837028626212186	-0.0049047734206224547	-0.010914414142400131	61.994509240465923	4.0
25.0	-0.0075563792617593384	-0.003769620994097167	0.0053132168744035591	61.611469686807787	4.0
26.0	-0.0014598268716845553	-0.0045856639430704726	-0.016017999763952573	62.119552712138614	4.0
27.0	-0.013579232382524675	-0.0095619884194630966	-0.0062020803098125077	62.739020410162929	3.0
28.0	-0.0095551756088961826	-0.01168371965329873	-0.0093072097771985662	62.839457753804986	2.0
29.0	-0.0078320014308288499	-0.0057129173433129177	0.0042643442214314042	62.563212206001403	3.0
30.0	-0.0052014814119906161	-0.0045228330474602618	0.0040315096419281105	62.488411076210134	3.0
31.0	-0.0055981738869257391	-0.0072395332816977964	-0.0052719620100319942	62.515207460974111	2.0
32.0	-0.0065715606839382712	-0.0051062867634660281	0.0011203522692354584	62.086407632148081	2.0
33.0	-0.00092994406927626727	-0.0052248420303062648	-0.0060262644561549505	62.593216366472404	2.0
34.0	-0.0071926757020392973	-0.0045129963454146882	-0.0020646220472373411	62.648430195142396	2.0
35.0	-0.0023814877671896051	-0.0028753191425128222	0.003270510784048164	62.246366054434809	2.0
36.0	-0.0080339304163394853	-0.0062582211857442616	-0.0042102004295916373	62.887032919183078	1.0
37.0	0.00023757845086602725	-0.003598832333715718	-0.016180217193302093	63.394808508386298	2.0
38.0	-0.0051254098135049553	-0.00033997764635773642	-0.0046692942257368086	63.621489081633463	3.0
39.0	0.0026012614965911229	-0.00074924331475645367	0.0053886480356669653	63.721693414493082	3.0
40.0	0.0020194687813052115	0.0044528148426155045	-0.0015052204470120678	63.071266763196654	4.0
41.0	0.0046995940601984865	0.0061160403606931313	-0.0065030975433597593	63.546707149026055	5.0
42.0	0.0067143147427407568	0.0056311024518254094	0.0088338809326947709	62.769049584659633	5.0
43.0	0.0021362178967250234	0.0028949156375082108	-0.0055898471488494694	63.221613278210029	5.0
44.0	0.0035274881767650701	0.0021030229194778371	0.00026106942935621991	62.890705123406484	5.0
45.0	-0.00028202710499114492	2.2272739713891099e-05	-0.0055866795248590284	63.316580942260579	5.0
46.0	-0.0018467933648218526	-0.0034142522420247401	0.0043183611288905022	62.605099981689982	4.0
47.0	-0.0021024645439046141	-0.0027112989240323238	-0.00097140721797595031	62.383841036791594	4.0
48.0	-0.0030021249444645015	-0.0012872296596921906	0.0033985247011789621	61.704717188890278	4.0
49.0	-0.0017221050443034791	-0.0020145457993355764	0.00031484954706439972	61.966614767762572	4.0
50.0	-0.0015835434890095756	-0.0023416290212487922	-0.008598924506468375	62.038306062388877	4.0
51.0	-0.0084380541355290051	-0.0064430269514991201	5.1207358572002981e-05	62.081902161121015	3.0
52.0	-0.0025761225675955401	-0.005579683705780436	-0.0059102705317061188	62.124852557874746	3.0
53.0	-0.00056553608756437779	-0.00088817948966324334	-0.00071903853766874803	62.074817954427552	4.0
54.0	-0.0026155308376198949	-0.0010785548438991821	0.00039463841407683109	62.029759624065797	4.0
55.0	0.005357025395891446	8.381597474904634e-05	0.0044290911600490812	61.38307018705936	4.0
56.0	-0.0091908643611813279	-0.0056356913815814869	-0.010978680141273456	62.044046092587408	3.0
57.0	-0.0088872170109193238	-0.0064090404348694507	-0.010096921746645671	62.699878845222656	3.0
58.0	-0.0098669417930880021	-0.0092655071986613713	-0.0060646859166502143	62.839729489926462	2.0
