time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState
0.000000000000000000e+00;2.499784871292792809e-03;4.099413133296050948e-03;-6.104056657088824389e-03;2.478777150765464565e+00;4.925054225019084853e-03;5.861619166363019051e-03;-6.104056657088685611e-03;2.522736646855359588e+00;4.000000000000000000e+00
1.000000000000000000e+00;-1.564687643815981799e-03;4.302912980196180182e-03;2.388240586886965222e-02;2.477958297884881755e+00;2.804303698298524217e-03;6.239720016447083961e-03;2.388240586886955508e-02;2.528911037932334516e+00;4.000000000000000000e+00
2.000000000000000000e+00;1.469076810555608459e-03;-2.520254524000536955e-03;-5.728552394158814565e-03;2.467575110488526402e+00;4.916946422105272774e-03;2.581236334893460826e-03;-5.728552394158925587e-03;2.515599719696424597e+00;3.000000000000000000e+00
3.000000000000000000e+00;8.320879182980883693e-03;6.686439266655241909e-03;4.488057210594739721e-03;2.441407418566704290e+00;5.519826174174582989e-03;4.562879388021454097e-03;4.488057210594864621e-03;2.493582399112852066e+00;4.000000000000000000e+00
4.000000000000000000e+00;-3.295666508832534314e-04;3.152097444567777962e-03;-1.907262474575580069e-03;2.417999368721248210e+00;2.146760136699329968e-03;4.185236579502246701e-03;-1.907262474575704969e-03;2.472584426940831470e+00;4.000000000000000000e+00
5.000000000000000000e+00;5.512514630987994102e-03;2.954393929401458174e-03;-3.297935610693289443e-03;2.395611600908145178e+00;5.659971248267350874e-03;4.162219413205534013e-03;-3.297935610693150665e-03;2.450640501084422329e+00;4.000000000000000000e+00
6.000000000000000000e+00;-5.691035614630302053e-04;-1.617054124585792785e-04;-4.969896792047637235e-03;2.366397018834089039e+00;5.176881872792360451e-04;7.562153704937651932e-04;-4.969896792047484579e-03;2.420809889215839839e+00;4.000000000000000000e+00
7.000000000000000000e+00;-6.304159673197196057e-04;-3.598163278853289127e-04;1.534005889111123011e-02;2.357151421137449798e+00;3.566136484781629035e-03;3.724569629190557785e-03;1.534005889111127174e-02;2.403281656587101800e+00;3.000000000000000000e+00
8.000000000000000000e+00;-6.429282148623191584e-03;-5.964968292604663769e-03;-1.320131639425782544e-02;2.358196943611913454e+00;-1.235856265125345743e-03;-9.640055547718157092e-04;-1.320131639425750625e-02;2.389597396944175944e+00;2.000000000000000000e+00
9.000000000000000000e+00;-4.467232077457153339e-03;-6.044328439524349061e-03;1.777759484410902646e-02;2.376895160243294836e+00;-1.396427048192677711e-03;-2.319799807300751415e-03;1.777759484410858237e-02;2.389433988820433008e+00;1.000000000000000000e+00
1.000000000000000000e+01;-2.158630824463658726e-03;-4.157197436648676914e-03;-3.728098508345434325e-03;2.408837818608849268e+00;-1.376166625843083802e-03;-2.546305630244605211e-03;-3.728098508345309425e-03;2.400133391291410678e+00;0.000000000000000000e+00
1.100000000000000000e+01;-3.126333809785622475e-03;2.500984918831966608e-03;-3.758124030157711237e-03;2.406936015992802158e+00;-6.515531918077646645e-03;-3.220798035099614598e-03;-3.758124030157558582e-03;2.391000135478094979e+00;1.000000000000000000e+00
1.200000000000000000e+01;1.311142550545758845e-02;7.937705497744293459e-03;9.132746934008006967e-03;2.415938450143855221e+00;3.869382709484073257e-03;8.402259418449492534e-04;9.132746934007590633e-03;2.403668147737553884e+00;2.000000000000000000e+00
1.300000000000000000e+01;-8.573688860601544337e-03;-6.498210309996046985e-03;-8.590107654265197179e-03;2.415818030119045279e+00;-3.556012002746120060e-03;-2.340841895302439579e-03;-8.590107654264905745e-03;2.397594276023366167e+00;1.000000000000000000e+00
1.400000000000000000e+01;-5.570521946470105568e-03;-6.132467844522496159e-03;-1.912851930246753374e-02;2.416719698704799857e+00;-3.786333763883958925e-03;-4.115346972483308052e-03;-1.912851930246771415e-02;2.387674813117528050e+00;0.000000000000000000e+00
1.500000000000000000e+01;-8.106466430809103341e-03;-4.001055406919237778e-03;-2.662453622266275355e-03;2.409538895368758205e+00;-7.791470355037702356e-03;-5.387796872820663219e-03;-2.662453622266025555e-03;2.373348626212608004e+00;0.000000000000000000e+00
1.600000000000000000e+01;1.431851022717200994e-03;-1.868952054592643020e-03;4.576712639398322624e-03;2.418041461214134102e+00;-1.488402682349038164e-03;-3.420986967035979931e-03;4.576712639398183846e-03;2.377270752574095702e+00;0.000000000000000000e+00
1.700000000000000000e+01;5.651237231049516252e-03;2.148864681644213626e-03;3.112571437850014666e-03;2.417997731007537787e+00;-4.055514677204635765e-04;-2.456152484978393891e-03;3.112571437850250589e-03;2.381282744819330333e+00;1.000000000000000000e+00
1.800000000000000000e+01;-1.375983616561000933e-02;-7.104078189282270195e-03;-1.570798194518269186e-02;2.419518209561234201e+00;-8.606777633057047239e-03;-4.709903761316108772e-03;-1.570798194518298330e-02;2.379454618711416725e+00;0.000000000000000000e+00
1.900000000000000000e+01;-2.104017126547425010e-03;2.265460586514250751e-04;1.703143783983704362e-02;2.446089388704554501e+00;-1.952868661658530014e-03;-5.883492763167075257e-04;1.703143783983721016e-02;2.404231894191766639e+00;0.000000000000000000e+00
2.000000000000000000e+01;5.172873742506467476e-03;4.564601997467651606e-03;-3.712596965698533591e-03;2.458620300625791177e+00;8.649553966716266862e-04;5.088189087478628414e-04;-3.712596965698644613e-03;2.423149513220794748e+00;1.000000000000000000e+00
2.100000000000000000e+01;-5.704827116682492649e-04;-5.785997360867656258e-03;-6.632039345436657740e-04;2.477740557935128152e+00;1.779798031581319995e-04;-2.875647272290463019e-03;-6.632039345432771960e-04;2.440630103758628877e+00;0.000000000000000000e+00
2.200000000000000000e+01;7.715277323835825762e-03;2.215672615732411366e-03;-4.482357325103630830e-03;2.478438432565022165e+00;1.727476739016145513e-03;-1.492481974647311138e-03;-4.482357325104130430e-03;2.448035802517790849e+00;1.000000000000000000e+00
2.300000000000000000e+01;4.425137982051768892e-03;7.698784274058942390e-03;9.728649808111861086e-03;2.477682286188591654e+00;1.119597072388275882e-03;3.036281354782038866e-03;9.728649808112083130e-03;2.460259489502088392e+00;2.000000000000000000e+00
2.400000000000000000e+01;5.183778819248655023e-03;3.759026670390172575e-03;-6.819095169527666922e-03;2.451876645913395603e+00;6.028891619650200706e-04;-2.312877180147138167e-04;-6.819095169527888967e-03;2.452988704721082325e+00;3.000000000000000000e+00
