time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState
0.000000000000000000e+00;2.794691435041199434e-03;4.363614530706938499e-03;1.880922836934306730e-03;2.475190638494764617e+00;5.170366873060827650e-03;6.072630952898366852e-03;1.880922836934167952e-03;2.518774129279455654e+00;4.000000000000000000e+00
1.000000000000000000e+00;-2.319529540625725472e-03;3.435441382197729210e-03;1.054778693948796309e-02;2.464683695159115118e+00;2.043545417137151987e-03;5.353142655215775703e-03;1.054778693948769941e-02;2.515176459728836633e+00;4.000000000000000000e+00
2.000000000000000000e+00;1.137256775016762256e-03;-2.775498591789452019e-03;-2.829150235426763915e-04;2.450087442573928076e+00;4.490049611820812192e-03;2.239882837927559267e-03;-2.829150235424265913e-04;2.497909543341832794e+00;3.000000000000000000e+00
3.000000000000000000e+00;7.869929405277781287e-03;6.266862871563291804e-03;4.373151335724703714e-03;2.420616422898155040e+00;5.137670155444237774e-03;4.215770697812426526e-03;4.373151335724578814e-03;2.472274040103224380e+00;4.000000000000000000e+00
4.000000000000000000e+00;-2.005580867373568665e-04;3.214274809414718881e-03;3.447470640331198877e-03;2.399128718880042310e+00;2.319668310980696480e-03;4.283487359446058740e-03;3.447470640331323777e-03;2.452930229639025850e+00;4.000000000000000000e+00
5.000000000000000000e+00;6.071790424220888105e-03;3.562773332216301325e-03;2.162862700034975938e-03;2.383183171628485919e+00;6.162241408634916429e-03;4.719343408045792443e-03;2.162862700035100838e-03;2.437476442272294097e+00;4.000000000000000000e+00
6.000000000000000000e+00;4.268558058135168976e-04;8.264338704721679862e-04;3.484803825880289363e-04;2.364597477350507848e+00;1.467420458631005231e-03;1.697211795012310009e-03;3.484803825881399586e-04;2.418355209588091803e+00;4.000000000000000000e+00
7.000000000000000000e+00;-3.174406663520035199e-04;-5.203523805845378103e-05;7.170283812857891625e-03;2.357505550463162791e+00;3.797060489456549615e-03;3.949691160268074819e-03;7.170283812857766725e-03;2.403287216191975606e+00;3.000000000000000000e+00
8.000000000000000000e+00;-5.439495389581383566e-03;-4.984094125644725204e-03;-4.829191054319267873e-03;2.368083559165910401e+00;-3.011458466375821486e-04;-3.925142778570672730e-05;-4.829191054319253995e-03;2.399406502317019907e+00;2.000000000000000000e+00
9.000000000000000000e+00;-4.828040068028727205e-03;-6.374863767829419547e-03;4.459272927444649093e-03;2.383767412642499028e+00;-1.722896464489934165e-03;-2.612451514082320125e-03;4.459272927444524193e-03;2.396219801637198277e+00;1.000000000000000000e+00
1.000000000000000000e+01;-2.396797187685206776e-03;-4.357000936621668874e-03;-3.625320014738267482e-03;2.412697561409263614e+00;-1.657339206203894966e-03;-2.784622905904782231e-03;-3.625320014738267482e-03;2.404172315723766218e+00;0.000000000000000000e+00
1.100000000000000000e+01;-3.148208915739372782e-03;2.371092368012583940e-03;-1.353895784761263710e-03;2.410801314880183011e+00;-6.429515807429508900e-03;-3.255448634928936880e-03;-1.353895784761388610e-03;2.394780224071307195e+00;1.000000000000000000e+00
1.200000000000000000e+01;1.243394931335209397e-02;7.359539837463013878e-03;3.549956371854956494e-03;2.414789846477255253e+00;3.240999047735157457e-03;3.227824639330245660e-04;3.549956371854831594e-03;2.402209011142570017e+00;2.000000000000000000e+00
1.300000000000000000e+01;-8.522648869244572878e-03;-6.487009521058823003e-03;-3.124032436201587548e-03;2.414799059829140671e+00;-3.516826842282813614e-03;-2.346161263806809116e-03;-3.124032436201351626e-03;2.396275828096061655e+00;1.000000000000000000e+00
1.400000000000000000e+01;-4.615480905432581271e-03;-5.166640145933182326e-03;-8.234530034170836621e-03;2.425299238697560256e+00;-2.889862715044808072e-03;-3.206826106270307952e-03;-8.234530034170822743e-03;2.396158028969601173e+00;0.000000000000000000e+00
1.500000000000000000e+01;-7.230014907997017737e-03;-3.203408023397968929e-03;-2.670825989816522084e-03;2.427270958223116892e+00;-6.882079722484488182e-03;-4.566438652736176662e-03;-2.670825989816272283e-03;2.390901812870802612e+00;0.000000000000000000e+00
1.600000000000000000e+01;1.754534075524810666e-03;-1.482909463857595700e-03;-6.474420403093927856e-04;2.439360510728806553e+00;-1.218096054779738147e-03;-3.079901151636546541e-03;-6.474420403095038079e-04;2.398615684555931438e+00;0.000000000000000000e+00
1.700000000000000000e+01;5.632073129899620167e-03;2.196929282474599510e-03;1.578680830267853441e-04;2.440200008704043633e+00;-4.150815645820732369e-04;-2.390581135701175253e-03;1.578680830266465662e-04;2.403518831178906634e+00;1.000000000000000000e+00
1.800000000000000000e+01;-1.283480017617380509e-02;-6.306800730137021582e-03;-7.331411567125134532e-03;2.449849319697297467e+00;-7.690766024971831816e-03;-3.936611707510501157e-03;-7.331411567125148410e-03;2.409993460699769940e+00;0.000000000000000000e+00
1.900000000000000000e+01;-2.421311530496267350e-03;-1.354839454124207032e-04;3.822167701046944033e-03;2.471961573363118170e+00;-2.301804982799027233e-03;-9.872599114564561962e-04;3.822167701046957911e-03;2.430541296986843847e+00;0.000000000000000000e+00
2.000000000000000000e+01;4.983732547068214780e-03;4.387136692955734274e-03;-1.200403511351977315e-03;2.482862898144715835e+00;7.033258213693105443e-04;3.602325169028697260e-04;-1.200403511351852415e-03;2.447844079030856879e+00;1.000000000000000000e+00
2.100000000000000000e+01;-1.053240042637931806e-03;-6.168641903983196340e-03;-3.191667121379124228e-03;2.498314934561303158e+00;-2.838412581668559032e-04;-3.225631946427096053e-03;-3.191667121379235250e-03;2.461611571743649751e+00;0.000000000000000000e+00
2.200000000000000000e+01;7.414524516060227999e-03;2.020485758099155316e-03;-2.079270389151066656e-03;2.498078983561253352e+00;1.485499577241519709e-03;-1.616531000295878817e-03;-2.079270389150955634e-03;2.467819101434761464e+00;1.000000000000000000e+00
2.300000000000000000e+01;3.945939397520109582e-03;7.156747431218205002e-03;4.254424163698145023e-03;2.491091176354396808e+00;6.320289316289057213e-04;2.478516349694662169e-03;4.254424163698006245e-03;2.473837669762922076e+00;2.000000000000000000e+00
2.400000000000000000e+01;5.108802919604540915e-03;3.711399157092801215e-03;-1.355321662853903320e-03;2.464516591932651046e+00;5.152956305441297458e-04;-2.883302599965137381e-04;-1.355321662853875564e-03;2.465833092226846102e+00;3.000000000000000000e+00
2.500000000000000000e+01;-9.479410567569290791e-03;-5.473848397627642526e-03;-5.100499744760317311e-03;2.469762360425377334e+00;-9.134325645717283892e-04;1.390106006234320679e-03;-5.100499744760456089e-03;2.475614711647104116e+00;2.000000000000000000e+00
2.600000000000000000e+01;1.014614334149707697e-02;6.839691268897649112e-03;1.224872008287153369e-02;2.455386152871146699e+00;4.949949986464141638e-03;3.048459119861179900e-03;1.224872008287178349e-02;2.473072505306675328e+00;3.000000000000000000e+00
2.700000000000000000e+01;-8.601048561329163733e-03;-4.351682927594149874e-03;-1.477905046854480209e-03;2.449661883066351464e+00;-8.182762937647414248e-05;2.361918647293820284e-03;-1.477905046854480209e-03;2.466748944404340449e+00;2.000000000000000000e+00
2.800000000000000000e+01;9.325610637126779956e-03;7.074076501947620943e-03;2.846361913505512931e-03;2.450373940777586412e+00;4.155975412535636848e-03;2.861151988549887060e-03;2.846361913505388030e-03;2.475678867731910149e+00;3.000000000000000000e+00
2.900000000000000000e+01;-8.115474179690690404e-03;-5.873946610221780773e-03;1.498647245301062969e-03;2.455656037416625193e+00;-7.080494658135288999e-04;5.810193327046991874e-04;1.498647245301062969e-03;2.477796614807327824e+00;2.000000000000000000e+00
3.000000000000000000e+01;5.338120482187999616e-03;6.055982047017627323e-03;-6.514128161019663854e-03;2.443295051732732315e+00;1.256344074675327938e-03;1.669175465857639096e-03;-6.514128161019663854e-03;2.471102851923202337e+00;3.000000000000000000e+00
3.100000000000000000e+01;-3.116704783361845532e-03;-4.852904095349039326e-03;3.701977089263397414e-03;2.437184075674623696e+00;2.067672489561633853e-03;1.069210373112278178e-03;3.701977089263397414e-03;2.460380122232491473e+00;2.000000000000000000e+00
3.200000000000000000e+01;-7.095723254409727621e-03;-5.545783868374148939e-03;-4.228068726030112523e-03;2.450007715141855780e+00;-1.561630791501011917e-03;-6.702839576066821348e-04;-4.228068726030112523e-03;2.461491134110114665e+00;1.000000000000000000e+00
3.300000000000000000e+01;6.871212205713794763e-04;-3.855941626448367021e-03;3.601456515653078672e-04;2.471274694106538661e+00;1.179766089574152410e-03;-1.432881038022013054e-03;3.601456515650580670e-04;2.467279311334999559e+00;0.000000000000000000e+00
3.400000000000000000e+01;9.108583564986921788e-04;3.745373131347332074e-03;6.387309400563187523e-03;2.480176046343749885e+00;-2.344108462711824714e-03;-7.140216393487636148e-04;6.387309400563562223e-03;2.471510764458581200e+00;1.000000000000000000e+00
3.500000000000000000e+01;7.116166094481485294e-03;6.593800488993314945e-03;-8.740354814953485429e-03;2.468805625381564450e+00;9.521986899527906667e-04;6.517940852423520504e-04;-8.740354814953596452e-03;2.465929733091109632e+00;2.000000000000000000e+00
3.600000000000000000e+01;4.175132682765411718e-03;6.053444741823593711e-03;6.602364482957090441e-03;2.457323824126758094e+00;9.689718984377815314e-05;1.177086210131447763e-03;6.602364482957201464e-03;2.466873378473413148e+00;3.000000000000000000e+00
3.700000000000000000e+01;-3.026269346378090974e-03;-7.084353021353032021e-03;-5.110584409209723011e-03;2.455733136855043686e+00;1.082566527868089601e-03;-1.251176370697201778e-03;-5.110584409209723011e-03;2.465718124484378659e+00;2.000000000000000000e+00
3.800000000000000000e+01;2.309427810996009245e-03;7.371368579499368301e-03;9.513793447265078695e-03;2.446323705592484909e+00;-1.225347486123740115e-04;2.788511269068816301e-03;9.513793447264953795e-03;2.464798203476016081e+00;3.000000000000000000e+00
3.900000000000000000e+01;-9.952022098857066235e-04;-4.539303621678911216e-03;7.556730622116647478e-04;2.447904480407728567e+00;3.315986988421421033e-03;1.277827560469582679e-03;7.556730622117896479e-04;2.463845091248102026e+00;2.000000000000000000e+00
4.000000000000000000e+01;-9.550383210327542671e-03;-6.976435194475438806e-03;-9.876244095684161284e-03;2.454593416114087212e+00;-3.448536736974344707e-03;-1.968297938470961461e-03;-9.876244095684036384e-03;2.460011657842918087e+00;1.000000000000000000e+00
4.100000000000000000e+01;-5.252031516770255815e-03;-3.753741075189470644e-03;2.571442320067271470e-03;2.466854422164664662e+00;-1.993077986833013959e-03;-1.131433684230256920e-03;2.571442320066771869e-03;2.457765019157541975e+00;0.000000000000000000e+00
