time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg
0.000000000000000000e+00;1.935579445374979723e-03;4.717090332704343414e-03;2.080109322249640291e-03;2.445708432372874608e+00;8.003441288663065700e-03;9.433080978702129693e-03;2.080109322249473758e-03;2.506001190824506786e+00;4.000000000000000000e+00;9.999812066944210320e-01
1.000000000000000000e+00;-6.109189307886925269e-03;4.093678074408163559e-03;1.101891085534717485e-02;2.436708664030624139e+00;3.050872196107057288e-03;8.294937293381932086e-03;1.101891085534734138e-02;2.503459403522537041e+00;4.000000000000000000e+00;9.999812066944210320e-01
2.000000000000000000e+00;-1.278047190795911225e-03;-8.214889208288028710e-03;-7.029973818269308339e-03;2.439656475895068510e+00;5.836568301939765169e-03;2.271173423597505625e-03;-7.029973818269585895e-03;2.486586446689584839e+00;3.000000000000000000e+00;9.931106134438250077e-01
3.000000000000000000e+00;1.524405339528800418e-02;1.240201032194784836e-02;1.164024994464232798e-02;2.394870952707787382e+00;7.896166065680582102e-03;6.435414070440736989e-03;1.164024994464285534e-02;2.461778568160413627e+00;4.000000000000000000e+00;1.006908179861754071e+00
4.000000000000000000e+00;3.435293381820553327e-03;9.489379082577631408e-03;1.069649867033370394e-02;2.359592239262178648e+00;4.863528352316320857e-03;7.975204543888059217e-03;1.069649867033370394e-02;2.443942159964677785e+00;4.000000000000000000e+00;1.006908179861754071e+00
5.000000000000000000e+00;8.632908366503516673e-03;4.184724528056738002e-03;2.646944233643339084e-03;2.345882388351165027e+00;9.909532194850412257e-03;7.623256705869774219e-03;2.646944233643339084e-03;2.429130055308056146e+00;4.000000000000000000e+00;9.999812066944210320e-01
6.000000000000000000e+00;5.000544840439991034e-04;1.208458063707312791e-03;6.763329991402167174e-04;2.329400475862294595e+00;3.227242808122338102e-03;3.591347755065338321e-03;6.763329991399114061e-04;2.410655035018985259e+00;4.000000000000000000e+00;9.999812066944210320e-01
7.000000000000000000e+00;-5.648889203778956203e-03;-5.178357480207423924e-03;6.124860438395385298e-04;2.339803320813580889e+00;3.530880720914203463e-03;3.772724400370824904e-03;6.124860438392887296e-04;2.395467835686153180e+00;3.000000000000000000e+00;9.931106134438250077e-01
8.000000000000000000e+00;-1.090124213494558791e-02;-1.009387077477966188e-02;-1.106479974043450554e-02;2.364909087050032443e+00;-2.298826085244509709e-03;-1.883853723873563091e-03;-1.106479974043422798e-02;2.389144037422514355e+00;2.000000000000000000e+00;9.931106134438250077e-01
9.000000000000000000e+00;-3.128594999025569035e-03;-5.870926330408671179e-03;4.917299911231354237e-03;2.380570899418214648e+00;-2.429805407671764561e-03;-3.839307607516551091e-03;4.917299911231076681e-03;2.385614579888904352e+00;1.000000000000000000e+00;9.999812066944210320e-01
1.000000000000000000e+01;-6.294413454842634481e-03;-9.769617615016629175e-03;-1.012266593959301741e-02;2.424736989855081237e+00;-3.714340802341981052e-03;-5.500524642572723888e-03;-1.012266593959285088e-02;2.391869717503746440e+00;0.000000000000000000e+00;9.931106134438250077e-01
1.100000000000000000e+01;-1.429381645989852290e-03;8.355671970479955357e-03;5.903312118124698360e-03;2.406069771039261340e+00;-8.423839870323218681e-03;-3.394522500763358375e-03;5.903312118124809382e-03;2.382940166851163166e+00;1.000000000000000000e+00;1.006908179861754071e+00
1.200000000000000000e+01;2.223907269230238071e-02;1.324275844149863657e-02;1.071905973484849062e-02;2.393738462887694762e+00;6.691074103235244985e-03;2.067152631059443468e-03;1.071905973484874042e-02;2.390790618118092681e+00;2.000000000000000000e+00;1.006908179861754071e+00
1.300000000000000000e+01;-9.858885277672035929e-03;-6.249942923966578245e-03;-2.925698657402553415e-03;2.394774377954374867e+00;-2.925149787947278757e-03;-1.070227252348621150e-03;-2.925698657402803216e-03;2.386000839801471152e+00;1.000000000000000000e+00;9.999812066944210320e-01
1.400000000000000000e+01;-9.343826921815207021e-03;-1.032096559249945367e-02;-1.466639221789511893e-02;2.421854035069135325e+00;-3.180788570086523492e-03;-3.683017855848347288e-03;-1.466639221789509118e-02;2.385758268409347238e+00;0.000000000000000000e+00;9.931106134438250077e-01
1.500000000000000000e+01;-9.886075593845161658e-03;-2.747388605650130655e-03;-2.145721388776666849e-03;2.422764974944477512e+00;-8.446116393401370548e-03;-4.776977329599974009e-03;-2.145721388776694605e-03;2.379435487617853173e+00;0.000000000000000000e+00;9.999812066944210320e-01
1.600000000000000000e+01;-8.089045748727041740e-04;-6.548500401324125475e-03;-6.929312524167868803e-03;2.450972164333669934e+00;-1.930516870142479080e-03;-4.880551700369578638e-03;-6.929312524167868803e-03;2.386980240922581320e+00;0.000000000000000000e+00;9.931106134438250077e-01
