time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
0.000000000000000000e+00;2.396647659504022587e-03;4.539287522207766101e-03;1.981530104040785112e-03;2.460129975358025689e+00;6.602041795382679323e-03;7.750281492165306263e-03;1.981530104041062668e-03;2.512162601563928899e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.890915734279885907e-01
1.000000000000000000e+00;-4.096299264572042520e-03;3.763123636402063155e-03;1.078269347219260044e-02;2.450383299081244193e+00;2.610599812363958994e-03;6.822460856204179414e-03;1.078269347219210084e-02;2.509097576959141929e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.902753186093823379e-01
2.000000000000000000e+00;-1.499331789605040655e-04;-5.493487394643462030e-03;-3.655476681931280059e-03;2.444599763035268936e+00;5.124414553265052574e-03;2.260806357058470217e-03;-3.655476681931058014e-03;2.492037903977361246e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.953748240906142852e-01
3.000000000000000000e+00;1.152342077189609515e-02;9.334152051719918353e-03;8.006843936236712755e-03;2.407444647287748207e+00;6.500283787037444694e-03;5.327055707420411124e-03;8.006843936236601733e-03;2.466814260340424614e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.928355491449472048e-01
4.000000000000000000e+00;1.688676296706673186e-03;6.352229983933657675e-03;7.073044019309054908e-03;2.379004766477757826e+00;3.625859557090951868e-03;6.125055789253777694e-03;7.073044019309193686e-03;2.448226523792126130e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.911700572748540772e-01
5.000000000000000000e+00;7.301886137787524933e-03;3.875382918869130222e-03;2.406188463286662582e-03;2.364184294217833937e+00;8.011106277008045451e-03;6.174844810206608914e-03;2.406188463286412782e-03;2.433101769729868025e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.927225522201622576e-01
6.000000000000000000e+00;4.729644036646774019e-04;1.018658384437112763e-03;5.139045381207796304e-04;2.346659884862372092e+00;2.354589658083161563e-03;2.647026806259611398e-03;5.139045381210294305e-04;2.414310324125319429e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.941015194186225701e-01
7.000000000000000000e+00;-2.977703846301971158e-03;-2.615246150312472428e-03;3.892400008360802355e-03;2.348365991553365006e+00;3.670742584264377606e-03;3.864983493426926708e-03;3.892400008360802355e-03;2.399185626353293799e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.992245581182510605e-01
8.000000000000000000e+00;-8.161971994854994028e-03;-7.540041637444899747e-03;-7.948956877364410367e-03;2.366237077213612316e+00;-1.296567855515087797e-03;-9.632756688797844413e-04;-7.948956877364687923e-03;2.394094729036040814e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.004188225851859295e+00
9.000000000000000000e+00;-4.010957178531865397e-03;-6.123416437321421713e-03;4.688030574438423193e-03;2.381912985234514668e+00;-2.093165936389695947e-03;-3.225231861699873193e-03;4.688030574438450948e-03;2.390740999505043707e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006264347968081507e+00
1.000000000000000000e+01;-4.385272573203743973e-03;-7.062274845077612384e-03;-6.874710643517911723e-03;2.418465317404574488e+00;-2.706276884936367755e-03;-4.140881145992217349e-03;-6.874710643517523145e-03;2.397858348555202745e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.011149541313449696e+00
1.100000000000000000e+01;-2.175101638665744019e-03;5.362473005692980355e-03;2.273820685055855106e-03;2.408196386750669049e+00;-7.364225003562416272e-03;-3.324842289384052907e-03;2.273820685055827351e-03;2.388700716980028282e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.007096310109609760e+00
1.200000000000000000e+01;1.723259610857230673e-02;1.030259931474732105e-02;7.134898880141765654e-03;2.404011145820678319e+00;4.908025758333156574e-03;1.194243729091354345e-03;7.134898880141515853e-03;2.396351963711369049e+00;2.000000000000000000e+00;1.003451754831397702e+00;1.002422977018410766e+00
1.300000000000000000e+01;-9.145245551110861570e-03;-6.365222728092700955e-03;-3.021624190654464970e-03;2.404530717105626714e+00;-3.193736350700054905e-03;-1.703923424638320583e-03;-3.021624190654326192e-03;2.390979686495157353e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.002931158406692669e+00
1.400000000000000000e+01;-6.992678112933969903e-03;-7.745382794671740179e-03;-1.145229830454952413e-02;2.423348658877751749e+00;-3.042226748794576996e-03;-3.445600834458606432e-03;-1.145229830454980169e-02;2.390808989606728385e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.006953397605255596e+00
1.500000000000000000e+01;-8.473110404408401575e-03;-2.974071958092253110e-03;-2.407102597171695280e-03;2.424791322260466675e+00;-7.616770811050360690e-03;-4.669838688623403899e-03;-2.407102597171417724e-03;2.385019605922215291e+00;0.000000000000000000e+00;9.999953016405735973e-01;1.006942242732071557e+00
