time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
0.000000000000000000e+00;-5.062531494829936030e-04;2.117367084430193946e-03;-6.822422132083738600e-02;2.496988177781450435e+00;3.452846970189382692e-03;5.374327374399412438e-03;-6.822422132083730273e-02;2.550506477765381419e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.890915734279885907e-01
1.000000000000000000e+00;1.635852744866217456e-03;1.125956100718533692e-02;1.281803162803459295e-01;2.574939083135661999e+00;7.103982394645796949e-03;1.415216970577180822e-02;1.281803162803460405e-01;2.636230163014741112e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.902753186093823379e-01
2.000000000000000000e+00;3.831358730881834207e-03;-2.711717968712043514e-03;-5.084734806520671557e-02;2.603797621775961080e+00;9.852021744100547540e-03;5.060019647531527331e-03;-5.084734806520688211e-02;2.653495649334264961e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.953748240906142852e-01
3.000000000000000000e+00;1.465748142609628324e-02;1.197676507627561115e-02;8.006843936236809900e-03;2.597092843158768538e+00;9.813666078572591545e-03;7.850369764249257032e-03;8.006843936236948678e-03;2.659737891230036677e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.928355491449472048e-01
4.000000000000000000e+00;-7.535319193809897342e-04;4.956897550697850208e-03;-4.100265093618325751e-02;2.551924151932722484e+00;5.914425456816363447e-04;4.773632553423085012e-03;-4.100265093618316037e-02;2.624925583298614029e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.911700572748540772e-01
5.000000000000000000e+00;2.919536200894579103e-03;-1.276149379872554279e-03;-4.563013455271075491e-02;2.479849041114021269e+00;4.217811665698067980e-03;1.144985987095142876e-03;-4.563013455271078267e-02;2.551996949898759137e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.927225522201622576e-01
6.000000000000000000e+00;-8.022055068566000258e-03;-7.353863556590387041e-03;-4.599656390358999869e-02;2.371119564676468450e+00;-5.967202844278554630e-03;-5.477834421240584950e-03;-4.599656390359005420e-02;2.441163030209470453e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.941015194186225701e-01
7.000000000000000000e+00;-5.158346505716809860e-03;-4.714524208891068824e-03;7.630913499668301458e-02;2.350169203165311860e+00;1.475153473983595309e-03;1.800198934175906151e-03;7.630913499668331990e-02;2.403063544350759528e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.992245581182510605e-01
8.000000000000000000e+00;-1.623195286008302651e-02;-1.547041140918936630e-02;-8.036569186568684464e-02;2.284946839937156415e+00;-9.396128435382206101e-03;-8.838392618295873304e-03;-8.036569186568701118e-02;2.315090396100279779e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.004188225851859295e+00
9.000000000000000000e+00;-6.538820416829571602e-04;-3.240546721618414727e-03;1.213711953079660427e-01;2.325701178789058243e+00;1.449340614632435575e-03;-4.450743736774259718e-04;1.213711953079660011e-01;2.336785810200302738e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006264347968081507e+00
1.000000000000000000e+01;-1.326959102580099747e-03;-4.604895562633243289e-03;-6.874710643517620290e-03;2.385029260875612511e+00;6.715434513411278061e-04;-1.729143428879878486e-03;-6.874710643517634168e-03;2.366694545494667068e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.011149541313449696e+00
1.100000000000000000e+01;-3.672131541632789320e-03;5.557479881080157336e-03;-1.986255259076341595e-02;2.375693566544515356e+00;-9.880265218235984026e-03;-3.120705561705738873e-03;-1.986255259076366575e-02;2.358274215082697634e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.007096310109609760e+00
