time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
0.000000000000000000e+00;2.522110081229170242e-03;4.664747993796944381e-03;5.672046070376024485e-03;2.458325793181205476e+00;6.726428148829288745e-03;7.873014134301775657e-03;5.672046070376052240e-03;2.510277546331406207e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.890915734279885907e-01
1.000000000000000000e+00;-4.496003017780692002e-03;3.363412729894516007e-03;4.628184746678448702e-03;2.444140023819695084e+00;2.226179981807380193e-03;6.431975042852797197e-03;4.628184746678420947e-03;2.502717775989409699e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.902753186093823379e-01
2.000000000000000000e+00;-3.098641037143495813e-04;-5.653413455930747511e-03;-1.191483922752478719e-03;2.436515209214464406e+00;4.960418546676684248e-03;2.100934560140946261e-03;-1.191483922752478719e-03;2.483830972110308011e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.953748240906142852e-01
3.000000000000000000e+00;1.137213666074160523e-02;9.182869933140935803e-03;8.006843936236629489e-03;2.397747191960553526e+00;6.352540177942955779e-03;5.181001798264084357e-03;8.006843936236657244e-03;2.456941991416089710e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.928355491449472048e-01
4.000000000000000000e+00;1.764840964769032183e-03;6.428390407435827236e-03;9.599826852609766314e-03;2.370111913181597973e+00;3.704646012182663539e-03;6.200242866021429822e-03;9.599826852609488759e-03;2.439131006418748360e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.911700572748540772e-01
5.000000000000000000e+00;7.592895305788840976e-03;4.166395205522033240e-03;4.932872574401420129e-03;2.358278590158230603e+00;8.291804527534599178e-03;6.458187670882561959e-03;4.932872574401697685e-03;2.427021933163853618e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.927225522201622576e-01
6.000000000000000000e+00;9.400832468876574310e-04;1.485776730993593198e-03;2.976189896252839917e-03;2.345698171057568171e+00;2.808779816978648758e-03;3.100795792972316223e-03;2.976189896252839917e-03;2.413219607529138777e+00;4.000000000000000000e+00;9.999953016405735973e-01;9.941015194186225701e-01
7.000000000000000000e+00;-2.874032036886076114e-03;-2.511574670789537556e-03;6.716367214837370980e-05;2.348503971170048832e+00;3.772533407084138757e-03;3.966494567698305995e-03;6.716367214837370980e-05;2.399210339118560409e+00;3.000000000000000000e+00;9.965529435280287007e-01;9.992245581182510605e-01
8.000000000000000000e+00;-7.747509768687349530e-03;-7.125579977330737114e-03;-4.123720541151815189e-03;2.370904162055840203e+00;-8.836069607693619599e-04;-5.507947863302720126e-04;-4.123720541152064989e-03;2.398635438119521179e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.004188225851859295e+00
9.000000000000000000e+00;-4.160303251556585202e-03;-6.272760587679213073e-03;-1.464687660709923511e-03;2.385166267321360500e+00;-2.238880103758694728e-03;-3.369315611456785708e-03;-1.464687660709534933e-03;2.393869080712807573e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006264347968081507e+00
1.000000000000000000e+01;-4.517536164954774613e-03;-7.194536000339660231e-03;-6.874710643517745190e-03;2.420429244044450368e+00;-2.838222323120809243e-03;-4.270760446506316477e-03;-6.874710643518022746e-03;2.399695622466163858e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.011149541313449696e+00
1.100000000000000000e+01;-2.192785331369823121e-03;5.344782452622057201e-03;3.437569450957023154e-03;2.410013408719062777e+00;-7.376876447471952813e-03;-3.343311310319715957e-03;3.437569450957134176e-03;2.390403178277313412e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.007096310109609760e+00
1.200000000000000000e+01;1.700705775768054928e-02;1.007706727123193480e-02;4.608116046841220781e-03;2.403377394073524798e+00;4.674805865936590421e-03;9.663724789359673384e-04;4.608116046841109759e-03;2.395624288984137706e+00;2.000000000000000000e+00;1.003451754831397702e+00;1.002422977018410766e+00
1.300000000000000000e+01;-9.139771201167185000e-03;-6.359750908402753145e-03;-4.948413573538090748e-04;2.403946416602625202e+00;-3.186218398456550083e-03;-1.698551122377767175e-03;-4.948413573536702970e-04;2.390309231139401192e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.002931158406692669e+00
