time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState
0.000000000000000000e+00;2.058019667992933011e-03;4.839858236225375032e-03;5.657499445724217813e-03;2.444033089713221862e+00;8.124554123688842999e-03;9.553011169529668223e-03;5.657499445723912501e-03;2.504215664738008940e+00;4.000000000000000000e+00
1.000000000000000000e+00;-6.499979889899282215e-03;3.704089459575871102e-03;5.053032371615695517e-03;2.430727761863305858e+00;2.675621695811453149e-03;7.915348732800420173e-03;5.053032371615445717e-03;2.497301114825173141e+00;4.000000000000000000e+00
2.000000000000000000e+00;-1.432856339868088247e-03;-8.370515564535996322e-03;-4.641485458012323262e-03;2.431869507750753723e+00;5.677532162504078661e-03;2.115086694140205781e-03;-4.641485458012323262e-03;2.478657577586294458e+00;3.000000000000000000e+00
3.000000000000000000e+00;1.509705667315391908e-02;1.225467878780744924e-02;1.164024994464274432e-02;2.385547386237664380e+00;7.754073868018851456e-03;6.294530254082580933e-03;1.164024994464271656e-02;2.452236570387712256e+00;4.000000000000000000e+00
4.000000000000000000e+00;3.509807346379761883e-03;9.564606259613778194e-03;1.314582836677397060e-02;2.351079386515785075e+00;4.940933513824213863e-03;8.050035626192303395e-03;1.314582836677449795e-02;2.435166555969625612e+00;4.000000000000000000e+00
5.000000000000000000e+00;8.917714760983685984e-03;4.469006896223093328e-03;5.096175344244335825e-03;2.340263192321727637e+00;1.018332376862007838e-02;7.898939560681467187e-03;5.096175344244058270e-03;2.423294504629878610e+00;4.000000000000000000e+00
6.000000000000000000e+00;9.559772394718557553e-04;1.664464273895577273e-03;3.063115549157863216e-03;2.328567521798943218e+00;3.668668949220910136e-03;4.032472696773536924e-03;3.063115549157613415e-03;2.409667886934538483e+00;4.000000000000000000e+00
7.000000000000000000e+00;-5.548379919091600554e-03;-5.077792763682337229e-03;-3.095467189745293446e-03;2.340027378847569395e+00;3.629601424931572229e-03;3.871245043473275915e-03;-3.095467189745015890e-03;2.395556371509455662e+00;3.000000000000000000e+00
8.000000000000000000e+00;-1.050032908027204170e-02;-9.692862606267949044e-03;-7.356846506849840095e-03;2.369516150681513000e+00;-1.899351562600237742e-03;-1.484722479790340222e-03;-7.356846506849840095e-03;2.393588428855271122e+00;2.000000000000000000e+00
9.000000000000000000e+00;-3.273839498932895609e-03;-6.016493895600855124e-03;-1.046789997733388322e-03;2.383801231637852958e+00;-2.571006135359349409e-03;-3.979342349389208833e-03;-1.046789997733665878e-03;2.388691060802926813e+00;1.000000000000000000e+00
1.000000000000000000e+01;-6.422487215583944087e-03;-9.898100778447216364e-03;-1.012266593959315619e-02;2.426723885469356468e+00;-3.841298336880821784e-03;-5.626004588058619582e-03;-1.012266593959262884e-02;2.393699840303298743e+00;0.000000000000000000e+00
1.100000000000000000e+01;-1.447842399363935550e-03;8.338363962982264788e-03;7.031388366470991969e-03;2.407902126240534901e+00;-8.438244831067115426e-03;-3.413087875526021886e-03;7.031388366471019724e-03;2.384636591904892189e+00;1.000000000000000000e+00
1.200000000000000000e+01;2.202024168172478369e-02;1.302286760390714004e-02;8.269730038408029671e-03;2.393185776225781325e+00;6.465148908904899683e-03;1.845052494147625399e-03;8.269730038407613337e-03;2.390124023128188835e+00;2.000000000000000000e+00
1.300000000000000000e+01;-9.854369341387558823e-03;-6.245001829723928477e-03;-4.763689609620092025e-04;2.394266442619162216e+00;-2.918571654429630291e-03;-1.065183570756300657e-03;-4.763689609618704246e-04;2.385388027864680627e+00;1.000000000000000000e+00
1.400000000000000000e+01;-8.946446559170317947e-03;-9.923700343436703264e-03;-9.830378557276669982e-03;2.425779382936506412e+00;-2.775781159235074513e-03;-3.277594984685383572e-03;-9.830378557276669982e-03;2.389542096191909160e+00;0.000000000000000000e+00
1.500000000000000000e+01;-9.527998876704718567e-03;-2.388470902623368586e-03;-2.145721388776861138e-03;2.430796536506174998e+00;-8.076631442486298385e-03;-4.410527609209513589e-03;-2.145721388776722360e-03;2.387281080101346653e+00;0.000000000000000000e+00
1.600000000000000000e+01;-6.751984511692288304e-04;-6.415470441051146500e-03;-9.316095074185376523e-03;2.460769455516386817e+00;-1.794794926247872402e-03;-4.742389392234286349e-03;-9.316095074185487546e-03;2.396514107218015610e+00;0.000000000000000000e+00
1.700000000000000000e+01;8.616185534485287789e-03;2.525373519165707847e-03;-8.491128341358566978e-04;2.461504856605259306e+00;-6.426442656116138075e-04;-3.770238885059062905e-03;-8.491128341358844533e-04;2.402061295408563169e+00;1.000000000000000000e+00
1.800000000000000000e+01;-2.288997886117336011e-02;-1.131526198527746385e-02;-1.014610064951401713e-02;2.490629973254121499e+00;-1.221801625127910684e-02;-6.274470114634750351e-03;-1.014610064951412816e-02;2.411785027324559572e+00;0.000000000000000000e+00
1.900000000000000000e+01;-9.900155380442865471e-03;-5.847182131414635498e-03;-8.570058528853813362e-03;2.524650351635909118e+00;-7.206604366389701699e-03;-5.125427456883657751e-03;-8.570058528853952140e-03;2.428911083135364635e+00;0.000000000000000000e+00
2.000000000000000000e+01;5.581225624682301101e-03;4.523408730277150847e-03;3.619864460637778336e-04;2.532241574504333848e+00;-1.797166435105551630e-03;-2.340348923578483564e-03;3.619864460636390557e-04;2.444984986264068905e+00;1.000000000000000000e+00
2.100000000000000000e+01;3.103283125146960586e-03;-5.966774055609802563e-03;-3.705996888042323301e-03;2.543493553597425016e+00;-4.028190749260363024e-04;-5.060237817331142418e-03;-3.705996888042462079e-03;2.456861359898587782e+00;0.000000000000000000e+00
2.200000000000000000e+01;1.745205184644843532e-02;7.887946953805846650e-03;6.377686710764662870e-03;2.523328427413715325e+00;3.866820048428448731e-03;-1.044289164402939507e-03;6.377686710764940425e-03;2.462830697885356468e+00;1.000000000000000000e+00
