time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState
0.000000000000000000e+00;2.794691435041199434e-03;4.363614530706938499e-03;1.880922836934306730e-03;2.475190638494764617e+00;3.545328478407716588e-03;4.339643326845429860e-03;1.880922836934167952e-03;2.528100379657395536e+00;4.000000000000000000e+00
1.000000000000000000e+00;-2.319529540625725472e-03;3.435441382197729210e-03;1.054778693948796309e-02;2.464683695159115118e+00;1.040446217686841202e-03;3.954074596894480154e-03;1.054778693948796309e-02;2.540256971918267936e+00;4.000000000000000000e+00
2.000000000000000000e+00;1.137256775016762256e-03;-2.775498591789452019e-03;-2.829150235426763915e-04;2.450087442573928076e+00;4.112613029843836809e-03;2.131662086649416255e-03;-2.829150235426763915e-04;2.537162068443101326e+00;3.000000000000000000e+00
3.000000000000000000e+00;7.869929405277781287e-03;6.266862871563291804e-03;4.373151335724703714e-03;2.420616422898155040e+00;4.281788237699715727e-03;3.470187239358449305e-03;4.373151335724703714e-03;2.525798188202753813e+00;4.000000000000000000e+00
4.000000000000000000e+00;-2.005580867373568665e-04;3.214274809414718881e-03;3.447470640331198877e-03;2.399128718880042310e+00;2.433204563331126113e-03;4.162067170963401619e-03;3.447470640331448677e-03;2.520829742931608664e+00;4.000000000000000000e+00
5.000000000000000000e+00;6.071790424220888105e-03;3.562773332216301325e-03;2.162862700034975938e-03;2.383183171628485919e+00;6.166876209912033890e-03;4.896610295241687894e-03;2.162862700034726138e-03;2.519499553381594481e+00;4.000000000000000000e+00
6.000000000000000000e+00;4.268558058135168976e-04;8.264338704721679862e-04;3.484803825880289363e-04;2.364597477350507848e+00;1.791083908050661311e-03;1.993382408687932594e-03;3.484803825884036366e-04;2.514115867380921632e+00;4.000000000000000000e+00
7.000000000000000000e+00;-3.174406663520035199e-04;-5.203523805845378103e-05;7.170283812857891625e-03;2.357505550463162791e+00;4.764645733365976965e-03;4.899015272020829093e-03;7.170283812857516925e-03;2.510491817040083173e+00;3.000000000000000000e+00
8.000000000000000000e+00;-5.439495389581383566e-03;-4.984094125644725204e-03;-4.829191054319267873e-03;2.368083559165910401e+00;2.081774431927835289e-03;2.312335118389449717e-03;-4.829191054319267873e-03;2.512973595121655634e+00;2.000000000000000000e+00
9.000000000000000000e+00;-4.828040068028727205e-03;-6.374863767829419547e-03;4.459272927444649093e-03;2.383767412642499028e+00;1.901896476745754128e-03;1.118770116976225415e-03;4.459272927444649093e-03;2.509574604199219294e+00;1.000000000000000000e+00
1.000000000000000000e+01;-2.396797187685206776e-03;-4.357000936621668874e-03;-3.625320014738267482e-03;2.412697561409263614e+00;1.506755988227859167e-03;5.143434550419490048e-04;-3.625320014738267482e-03;2.512425031944727660e+00;0.000000000000000000e+00
1.100000000000000000e+01;-3.148208915739372782e-03;2.371092368012583940e-03;-1.353895784761263710e-03;2.410801314880183011e+00;-3.663418448511535086e-03;-8.691049638054754167e-04;-1.353895784761263710e-03;2.494388278405581971e+00;1.000000000000000000e+00
1.200000000000000000e+01;1.243394931335209397e-02;7.359539837463013878e-03;3.549956371854956494e-03;2.414789846477255253e+00;4.172202721006296189e-03;1.603129192235638878e-03;3.549956371854956494e-03;2.492780457185019838e+00;2.000000000000000000e+00
1.300000000000000000e+01;-8.522648869244572878e-03;-6.487009521058823003e-03;-3.124032436201587548e-03;2.414799059829140671e+00;-2.246797914097625748e-03;-1.216193823435102184e-03;-3.124032436201476526e-03;2.479110019589727987e+00;1.000000000000000000e+00
1.400000000000000000e+01;-4.615480905432581271e-03;-5.166640145933182326e-03;-8.234530034170836621e-03;2.425299238697560256e+00;-1.379029013532317993e-03;-1.658070076662007675e-03;-8.234530034170947643e-03;2.468766134229226417e+00;0.000000000000000000e+00
1.500000000000000000e+01;-7.230014907997017737e-03;-3.203408023397968929e-03;-2.670825989816522084e-03;2.427270958223116892e+00;-5.228707005231134075e-03;-3.190115281969260752e-03;-2.670825989816272283e-03;2.451038468345267063e+00;0.000000000000000000e+00
