time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg
0.000000000000000000e+00;6.339603970786616971e-03;8.244437946451257937e-03;7.984188448413032102e-04;2.540640405562071713e+00;6.181335397568044066e-03;7.196565892630235606e-03;7.984188448411644323e-04;2.577907189438640501e+00;5.000000000000000000e+00;9.999988254080117711e-01
1.000000000000000000e+00;-1.055763693143738080e-03;5.931362809767901090e-03;1.086989853046335663e-02;2.520169314435515062e+00;3.288504731966929162e-03;7.012474374065491567e-03;1.086989853046335663e-02;2.575102468916748766e+00;6.000000000000000000e+00;9.999988254080117711e-01
2.000000000000000000e+00;7.796109384311245005e-04;-3.970876438385825824e-03;-1.363587984730074698e-03;2.499373532257358033e+00;5.811883895602415473e-03;3.279988878521100659e-03;-1.363587984729797142e-03;2.556517204374123775e+00;5.000000000000000000e+00;9.982758827141815505e-01
3.000000000000000000e+00;8.788888870354671923e-03;6.842601249816712694e-03;6.354913690639146795e-03;2.457355452208233704e+00;6.777923891947548740e-03;5.740599605539492556e-03;6.354913690639119039e-03;2.527131360394943460e+00;6.000000000000000000e+00;1.001725291877806567e+00
4.000000000000000000e+00;2.128803888316460613e-04;4.358838683267793335e-03;5.384026333055763613e-03;2.424489747418288932e+00;3.806381468424671621e-03;6.016077087854648786e-03;5.384026333055791369e-03;2.503170961572390940e+00;6.000000000000000000e+00;1.001725291877806567e+00
5.000000000000000000e+00;6.347350910117247058e-03;3.301146149937025931e-03;2.499110919141928067e-03;2.401834353833354641e+00;7.647427591373573419e-03;6.023874039595158991e-03;2.499110919141900311e-03;2.482289096628066183e+00;6.000000000000000000e+00;9.999988254080117711e-01
6.000000000000000000e+00;-2.753633070759486934e-05;4.575925297157085181e-04;5.581189928529073363e-04;2.377075258960914539e+00;2.173620212054028222e-03;2.432182175683778036e-03;5.581189928530461142e-04;2.457538266731461363e+00;6.000000000000000000e+00;9.999988254080117711e-01
7.000000000000000000e+00;-1.080787803798846647e-03;-7.585583213366303701e-04;6.324423501224890609e-03;2.366492924522574981e+00;4.241005719199539281e-03;4.412746249441601432e-03;6.324423501224751831e-03;2.436404634546284864e+00;5.000000000000000000e+00;9.982758827141815505e-01
8.000000000000000000e+00;-5.758917229089610679e-03;-5.206013264259470863e-03;-4.901859278980513768e-03;2.370752629427653080e+00;1.837987629157988856e-05;3.130643333663640782e-04;-4.901859278980513768e-03;2.424676660257995664e+00;4.000000000000000000e+00;9.982758827141815505e-01
9.000000000000000000e+00;-3.648884543559119398e-03;-5.526887580089984153e-03;6.639605535892406651e-03;2.377328510633333725e+00;-7.809791915098646120e-04;-1.781909444153143007e-03;6.639605535892406651e-03;2.415017535738181564e+00;3.000000000000000000e+00;9.999988254080117711e-01
1.000000000000000000e+01;-4.208709037045205159e-03;-6.588597962458087043e-03;-2.620160295520645999e-03;2.402566912615442085e+00;-1.410558008695911303e-03;-2.678981316347625596e-03;-2.620160295520645999e-03;2.416456188301160157e+00;2.000000000000000000e+00;9.982758827141815505e-01
1.100000000000000000e+01;1.363345554236020107e-03;8.064344880630097689e-03;2.385885452572539256e-03;2.388068886084021347e+00;-4.903971528743486519e-03;-1.332500759920890454e-03;2.385885452572289456e-03;2.399852230588431556e+00;3.000000000000000000e+00;1.001725291877806567e+00
1.200000000000000000e+01;1.642503227736355487e-02;1.026417735540408049e-02;6.663099875214933965e-03;2.380935409037479022e+00;6.053504170566409437e-03;2.769917321353065898e-03;6.663099875215183765e-03;2.399537146040454871e+00;4.000000000000000000e+00;1.001725291877806567e+00
1.300000000000000000e+01;-8.186226428413947986e-03;-5.714750928221434823e-03;-1.123201605468110431e-03;2.373981019883830701e+00;-1.654718559756462870e-03;-3.374818201508505977e-04;-1.123201605468110431e-03;2.386582113236228153e+00;3.000000000000000000e+00;9.999988254080117711e-01
1.400000000000000000e+01;-6.519404948685872392e-03;-7.188568944172593622e-03;-7.283276832001833734e-03;2.383130850934476186e+00;-1.735694968353032608e-03;-2.092343213341799069e-03;-7.283276832001833734e-03;2.379917912123166168e+00;2.000000000000000000e+00;9.982758827141815505e-01
1.500000000000000000e+01;-1.162797025161754760e-02;-6.739255424473747369e-03;-1.239896404656742890e-03;2.386747342409043071e+00;-7.123201034709994439e-03;-4.517634125684621971e-03;-1.239896404656715134e-03;2.368593208553667395e+00;1.000000000000000000e+00;9.999988254080117711e-01
1.600000000000000000e+01;-9.325050976611570785e-04;-4.863094471447435008e-03;-2.118779054951919205e-03;2.410446526539217427e+00;-2.084761321499595255e-03;-4.179670508765026549e-03;-2.118779054951697161e-03;2.373188180364609323e+00;0.000000000000000000e+00;9.982758827141815505e-01
1.700000000000000000e+01;6.194690488067075562e-03;2.024072610143617945e-03;-3.871090098838403382e-04;2.420552881649860044e+00;-1.444027748024490077e-03;-3.666866329765997023e-03;-3.871090098840901383e-04;2.377787005985234625e+00;1.000000000000000000e+00;9.999988254080117711e-01
1.800000000000000000e+01;-1.454175018889609927e-02;-6.616087565735812026e-03;-8.916505391869750108e-03;2.441007597452706346e+00;-9.573629398476959929e-03;-5.349442675957327697e-03;-8.916505391869500308e-03;2.385913441598374707e+00;0.000000000000000000e+00;9.982758827141815505e-01
1.900000000000000000e+01;-3.847137618944812543e-03;-1.071907871478067209e-03;2.196555646194642275e-03;2.472579022291431894e+00;-4.327976971351510382e-03;-2.848846555563500083e-03;2.196555646194420230e-03;2.408852720397562042e+00;0.000000000000000000e+00;9.982758827141815505e-01
2.000000000000000000e+01;4.838001252034068722e-03;4.113672535226015059e-03;-1.640483003485487812e-03;2.490799239692151890e+00;-4.998773538106293657e-04;-8.859270626815907157e-04;-1.640483003485515567e-03;2.429722702032942827e+00;1.000000000000000000e+00;9.999988254080117711e-01
2.100000000000000000e+01;9.814631025558961941e-04;-5.229160790729325825e-03;-2.950479691266855164e-03;2.511148935503430657e+00;-7.714713170925424635e-04;-4.081583825782386654e-03;-2.950479691266827409e-03;2.447892263276199909e+00;0.000000000000000000e+00;9.999988254080117711e-01
2.200000000000000000e+01;9.594269824172080297e-03;3.045352085245978113e-03;-7.936006788963057001e-04;2.512949705693789948e+00;1.530369861699937273e-03;-1.960045094748730232e-03;-7.936006788963057001e-04;2.458535651017111689e+00;1.000000000000000000e+00;1.001725291877806567e+00
2.300000000000000000e+01;2.400567335815020908e-03;6.298818466683814288e-03;3.084108904030630205e-03;2.514566311926557329e+00;-3.308399970043673921e-04;1.746833687962162651e-03;3.084108904030880005e-03;2.470466089097957507e+00;2.000000000000000000e+00;9.999988254080117711e-01
2.400000000000000000e+01;5.167386018178454776e-03;3.470794150860392890e-03;-3.019763123798396842e-03;2.496641515300465297e+00;-1.907636862316652859e-04;-1.095006167928680441e-03;-3.019763123798674398e-03;2.468767835116012943e+00;3.000000000000000000e+00;9.999988254080117711e-01
2.500000000000000000e+01;-1.300544279527414415e-02;-8.142278415821699311e-03;-7.916201356697238900e-03;2.512804284370859342e+00;-2.791631307058284328e-03;-1.996821694450756635e-04;-7.916201356697238900e-03;2.484855789070682608e+00;2.000000000000000000e+00;9.982758827141815505e-01
2.600000000000000000e+01;1.048369417854230767e-02;6.469321349055923154e-03;1.061907237027898132e-02;2.505726981014098076e+00;3.823145472707040193e-03;1.683581727461691546e-03;1.061907237027898132e-02;2.489026870994599516e+00;3.000000000000000000e+00;9.999988254080117711e-01
2.700000000000000000e+01;-1.086052053887767710e-02;-5.701353683267379457e-03;-2.616638769389612040e-03;2.506178313265427171e+00;-1.855911103063184742e-03;8.938002039823866873e-04;-2.616638769389334485e-03;2.489729423461695568e+00;2.000000000000000000e+00;9.999988254080117711e-01
2.800000000000000000e+01;9.427061999296049155e-03;6.693468026521931513e-03;1.351817476813232943e-03;2.512501618936147540e+00;3.101754371045178926e-03;1.644814817397144413e-03;1.351817476813232943e-03;2.504528730956107729e+00;3.000000000000000000e+00;9.999988254080117711e-01
2.900000000000000000e+01;-1.124519265619819408e-02;-8.523747683204407899e-03;-1.048582861800539945e-03;2.526840747341539295e+00;-2.482874247716787552e-03;-1.032409817475349323e-03;-1.048582861800817501e-03;2.512815655689516259e+00;2.000000000000000000e+00;9.982758827141815505e-01
3.000000000000000000e+01;6.222803797817644256e-03;7.094361557588566014e-03;-6.409917269824261243e-03;2.515639627563863279e+00;2.259407567081483936e-04;6.904599889518692191e-04;-6.409917269824233488e-03;2.512501464527908457e+00;3.000000000000000000e+00;1.001725291877806567e+00
3.100000000000000000e+01;-5.576651369595342356e-03;-7.684575873438195814e-03;9.752200528909960031e-04;2.517951810669201151e+00;5.951363713417312518e-04;-5.283364692995895506e-04;9.752200528911070254e-04;2.507868154697388885e+00;2.000000000000000000e+00;9.982758827141815505e-01
3.200000000000000000e+01;-8.685031518598423927e-03;-6.803245718582151547e-03;-6.194841259925448762e-03;2.537582336871032407e+00;-3.040299804497437197e-03;-2.037353430294458478e-03;-6.194841259925282229e-03;2.514885356665825356e+00;1.000000000000000000e+00;9.982758827141815505e-01
3.300000000000000000e+01;6.806305366311715677e-04;-4.835114937758011600e-03;-1.045355361500022173e-03;2.563277894259868184e+00;1.259377542492112756e-04;-2.813821342943084725e-03;-1.045355361500049929e-03;2.525460086747536970e+00;0.000000000000000000e+00;9.982758827141815505e-01
3.400000000000000000e+01;1.102464695931476557e-03;4.543857115082539089e-03;7.777827061548975296e-03;2.569634522435795265e+00;-3.014655418857092872e-03;-1.180476391165780070e-03;7.777827061548975296e-03;2.534047907375641895e+00;1.000000000000000000e+00;1.001725291877806567e+00
3.500000000000000000e+01;7.491999633843809958e-03;6.857794072206463420e-03;-8.165297130588805574e-03;2.558481806624733235e+00;8.135809167512109141e-04;4.755646725335960223e-04;-8.165297130588916596e-03;2.533151410140507487e+00;2.000000000000000000e+00;1.001725291877806567e+00
3.600000000000000000e+01;4.819524250645884633e-03;7.099988243354518613e-03;6.749218246672794574e-03;2.547932641960033884e+00;2.605127734603140954e-04;1.475944993730965438e-03;6.749218246672655797e-03;2.538842903904956483e+00;3.000000000000000000e+00;1.001725291877806567e+00
3.700000000000000000e+01;-4.729270661616297167e-03;-9.656201549138418438e-03;-7.713995181854199634e-03;2.554086622010793395e+00;8.268711371735293358e-04;-1.799064008870310261e-03;-7.713995181854060856e-03;2.541766323649587989e+00;2.000000000000000000e+00;9.982758827141815505e-01
3.800000000000000000e+01;1.945795858159515834e-03;8.091512487154506328e-03;9.693906077157143919e-03;2.543901543846349256e+00;-9.683658800944405787e-04;2.307152624655778306e-03;9.693906077156977386e-03;2.544343293402050232e+00;3.000000000000000000e+00;1.001725291877806567e+00
3.900000000000000000e+01;-3.211289725989524557e-03;-7.514193291520976370e-03;-1.888521275211607620e-03;2.552882247503144075e+00;2.332483103352600562e-03;3.913944566449889528e-05;-1.888521275211441086e-03;2.547441746055482792e+00;2.000000000000000000e+00;9.982758827141815505e-01
4.000000000000000000e+01;-1.124040956944966085e-02;-8.115371990657899159e-03;-1.172137758935115626e-02;2.564911409724763836e+00;-4.620218426479832941e-03;-2.954648886700050880e-03;-1.172137758935101748e-02;2.547298181914638970e+00;1.000000000000000000e+00;9.982758827141815505e-01
4.100000000000000000e+01;-6.654876085428917953e-03;-4.835797415211728900e-03;1.041574029608832719e-03;2.581115137680276117e+00;-3.301992712404056007e-03;-2.332467723604292331e-03;1.041574029608804963e-03;2.548496344193062590e+00;0.000000000000000000e+00;9.982758827141815505e-01
4.200000000000000000e+01;5.750545010160007520e-03;4.359423883271457134e-03;-1.138238120597240277e-03;2.581561065968181801e+00;-6.008096967385634368e-04;-1.342243652865754422e-03;-1.138238120597212522e-03;2.551744464901218201e+00;1.000000000000000000e+00;1.001725291877806567e+00
4.300000000000000000e+01;6.048584846839899498e-03;7.022946442417965507e-03;8.814975412737874327e-03;2.584995790534874160e+00;3.668864762578216698e-04;8.861976696142581655e-04;8.814975412737707794e-03;2.565293620776524897e+00;2.000000000000000000e+00;1.001725291877806567e+00
4.400000000000000000e+01;-6.630585996898807899e-03;-8.459963054886582290e-03;-3.705012673078489360e-03;2.601468578153888433e+00;-1.755174995400510252e-03;-2.730188776109809812e-03;-3.705012673078211805e-03;2.575088482547951863e+00;1.000000000000000000e+00;9.982758827141815505e-01
4.500000000000000000e+01;7.693553048784385062e-03;8.084351737488643108e-03;-8.596626160059517296e-04;2.598364982048622984e+00;1.877610110715993708e-03;2.085896371498585644e-03;-8.596626160059517296e-04;2.582084029934046843e+00;2.000000000000000000e+00;1.001725291877806567e+00
4.600000000000000000e+01;1.083884105859997393e-02;8.825823686203632112e-03;6.787164887263857915e-03;2.590696842487120843e+00;4.357210498124125531e-03;3.284320865927392585e-03;6.787164887263469337e-03;2.590963468872874653e+00;3.000000000000000000e+00;1.001725291877806567e+00
4.700000000000000000e+01;-6.179663908832455643e-03;-6.961562689039246798e-03;-7.395338109030646923e-03;2.591140789394626776e+00;1.654404141438442499e-03;1.237670979462535126e-03;-7.395338109030369367e-03;2.587496427111605435e+00;2.000000000000000000e+00;9.982758827141815505e-01
4.800000000000000000e+01;5.886934207329719282e-03;8.089297567730927008e-03;9.241165494294739657e-03;2.578977870017511442e+00;9.866822110456974215e-04;2.160488680928079885e-03;9.241165494294462102e-03;2.588420041846610786e+00;3.000000000000000000e+00;1.001725291877806567e+00
4.900000000000000000e+01;-4.378616554195996491e-03;-4.754185144120806616e-03;-2.507546014042405513e-03;2.567571485205197845e+00;2.222270134233317318e-03;2.022101148195509790e-03;-2.507546014042016935e-03;2.575195861630463767e+00;2.000000000000000000e+00;9.999988254080117711e-01
5.000000000000000000e+01;-6.874041689845622471e-03;-7.847617053355682160e-03;-4.311860868652678258e-03;2.572283371999875001e+00;-1.599920937647852925e-03;-2.118813088304610792e-03;-4.311860868652817036e-03;2.567138666118067736e+00;1.000000000000000000e+00;9.982758827141815505e-01
5.100000000000000000e+01;4.785632478913226517e-03;7.347756715959580243e-03;8.253509838289513345e-03;2.575410405146177695e+00;5.860157844473079525e-04;1.951566111047187135e-03;8.253509838289652123e-03;2.571172241448024476e+00;2.000000000000000000e+00;9.999988254080117711e-01
5.200000000000000000e+01;-2.532205005178839174e-03;-6.389544319247486559e-03;-4.689631617611239589e-03;2.582278076089445484e+00;-1.160948899825431369e-05;-2.067478163893299303e-03;-4.689631617611517145e-03;2.571944190402711605e+00;1.000000000000000000e+00;9.999988254080117711e-01
5.300000000000000000e+01;8.563636309633138044e-03;8.149279810103715604e-03;-4.090158242551961143e-03;2.580312797607173358e+00;2.178302105770246744e-03;1.957460100890151544e-03;-4.090158242551794610e-03;2.576914027946747066e+00;2.000000000000000000e+00;1.001725291877806567e+00
5.400000000000000000e+01;6.604939419949482082e-03;8.578808987639213735e-03;1.236534378633638576e-02;2.588345076517767573e+00;2.781034021434841685e-03;3.833058819393747596e-03;1.236534378633649678e-02;2.594833909748972545e+00;3.000000000000000000e+00;9.999988254080117711e-01
5.500000000000000000e+01;1.795435530517335010e-02;1.118220815195038187e-02;1.960375982374612525e-03;2.563252802150163490e+00;1.038613523856615761e-02;6.776744396720449370e-03;1.960375982374612525e-03;2.588384923172884378e+00;4.000000000000000000e+00;1.001725291877806567e+00
5.600000000000000000e+01;-1.064453184679400866e-02;-6.078782101206228750e-03;1.004775774892968654e-03;2.552350887243316269e+00;-6.107813841045167669e-04;1.822652938131219535e-03;1.004775774892829876e-03;2.579242890382612785e+00;3.000000000000000000e+00;9.999988254080117711e-01
5.700000000000000000e+01;4.428093726806428543e-03;7.610705131806269619e-03;4.165127303203813858e-03;2.532376893061304202e+00;1.054157293732718714e-03;2.750412292103973644e-03;4.165127303203813858e-03;2.572264867625309925e+00;4.000000000000000000e+00;1.001725291877806567e+00
5.800000000000000000e+01;8.844275473082238714e-03;9.616671039274951593e-03;4.401653540097583139e-04;2.518534523007643244e+00;6.320997089762206422e-03;6.732665268232226885e-03;4.401653540100081141e-04;2.575101550070403533e+00;5.000000000000000000e+00;1.001725291877806567e+00
5.900000000000000000e+01;-6.249278937678973134e-03;-6.651066940297115093e-03;2.471241576566113318e-03;2.521381942296794243e+00;2.081420539498002320e-03;1.867277239861742100e-03;2.471241576565613718e-03;2.574283875643360364e+00;4.000000000000000000e+00;9.982758827141815505e-01
6.000000000000000000e+01;-7.879063875441044695e-03;-7.045970687245897701e-03;1.448212566506401622e-03;2.511305474682052008e+00;-1.097582049704434737e-03;-6.535635049442906075e-04;1.448212566506623666e-03;2.556452577180743813e+00;3.000000000000000000e+00;9.999988254080117711e-01
6.100000000000000000e+01;-6.718741327430277632e-04;-5.711336439402997511e-03;-7.108134304930402436e-03;2.516531494529156365e+00;1.797664890096514756e-03;-8.882467839917279617e-04;-7.108134304930513458e-03;2.548289782767818590e+00;2.000000000000000000e+00;9.999988254080117711e-01
6.200000000000000000e+01;3.170043967305788413e-03;8.815538136409367675e-03;3.402646439533085765e-03;2.503229870076250307e+00;-1.758219326052509746e-03;1.250692691158766801e-03;3.402646439532808209e-03;2.537082661124689942e+00;3.000000000000000000e+00;1.001725291877806567e+00
6.300000000000000000e+01;-3.489260426779300373e-03;-5.395269855546100390e-03;6.780516842000650080e-03;2.521602687842241508e+00;1.856130279105014380e-03;8.402732959341269181e-04;6.780516842001205191e-03;2.541554847330500078e+00;2.000000000000000000e+00;9.982758827141815505e-01
6.400000000000000000e+01;4.609165977313325890e-03;5.994345981088056163e-03;-7.052870733164073869e-04;2.511777559017275951e+00;-1.058348844330161964e-03;-3.200813633063848140e-04;-7.052870733166849426e-04;2.532109242889621470e+00;3.000000000000000000e+00;9.999988254080117711e-01
6.500000000000000000e+01;-3.485399629976959623e-03;-8.354763809235915550e-03;-4.018097766967043682e-03;2.521529816817007941e+00;2.666695406429442361e-04;-2.328583940502157446e-03;-4.018097766967043682e-03;2.530053493946490928e+00;2.000000000000000000e+00;9.982758827141815505e-01
6.600000000000000000e+01;-1.292212152799439295e-02;-5.304303888636202613e-03;-4.176821011950909712e-03;2.538283456634436774e+00;-6.582228714418963955e-03;-2.522115931833532332e-03;-4.176821011950881957e-03;2.534570738155148995e+00;1.000000000000000000e+00;9.999988254080117711e-01
6.700000000000000000e+01;7.571358537758934859e-03;4.307382578385615668e-03;9.545839336927430807e-04;2.531857171680609309e+00;-1.319562282553157773e-03;-3.059182622929229600e-03;9.545839336924655250e-04;2.530718976565022427e+00;2.000000000000000000e+00;1.001725291877806567e+00
6.800000000000000000e+01;6.435561661838160030e-03;5.691954556999695436e-03;6.485585695279377783e-03;2.527677166696665978e+00;4.244988792308640457e-04;2.817425523653216413e-05;6.485585695279766361e-03;2.533061359850333982e+00;3.000000000000000000e+00;9.999988254080117711e-01
6.900000000000000000e+01;-6.086122378683861411e-03;-7.449939990907414322e-03;-6.486875761963301068e-03;2.523279616925459212e+00;-2.425615260897295844e-04;-9.694433684555997521e-04;-6.486875761963578624e-03;2.521850974138177381e+00;2.000000000000000000e+00;9.982758827141815505e-01
7.000000000000000000e+01;-5.115738036208475337e-03;-5.553218567175069453e-03;-6.869569866921387824e-03;2.544442400736090626e+00;-8.004505901425956749e-04;-1.033617145184920205e-03;-6.869569866920971490e-03;2.529880021721007566e+00;1.000000000000000000e+00;9.982758827141815505e-01
7.100000000000000000e+01;6.772820917567493049e-03;8.864288834023542618e-03;1.444405686693656099e-02;2.539199137679315932e+00;5.726460383229520223e-04;1.687347915419329381e-03;1.444405686693617241e-02;2.529884247274356568e+00;2.000000000000000000e+00;1.001725291877806567e+00
