United States life table functions and actuarial functions at 2.3 percent interest
based on the historical mortality probabilities used in the 2020 Trustees Report.
Males
,,,,,,,o,,,,,..,    ..    (12)
Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
1900,0,0.145957,100000,14596,90026,4640593,46.41,100000,43800,0.4380,2499683,24.9968,294.46
1900,1,0.038140,85404,3257,83776,4550567,53.28,83484,29532,0.3537,2399683,28.7442,339.43
1900,2,0.019577,82147,1608,81343,4466791,54.38,78495,26420,0.3366,2316199,29.5077,348.59
1900,3,0.013529,80539,1090,79994,4385448,54.45,75228,24918,0.3312,2237704,29.7457,351.45
1900,4,0.010797,79449,858,79020,4305454,54.19,72542,23923,0.3298,2162476,29.8102,352.22
1900,5,0.007940,78591,624,78279,4226434,53.78,70145,23157,0.3301,2089935,29.7945,352.03
1900,6,0.005699,77967,444,77745,4148155,53.20,68023,22613,0.3324,2019790,29.6925,350.81
1900,7,0.004073,77523,316,77365,4070409,52.51,66115,22234,0.3363,1951766,29.5207,348.75
1900,8,0.003047,77207,235,77090,3993044,51.72,64366,21971,0.3413,1885651,29.2960,346.05
1900,9,0.002555,76972,197,76874,3915955,50.88,62727,21779,0.3472,1821286,29.0352,342.92
1900,10,0.002483,76775,191,76680,3839081,50.00,61160,21622,0.3535,1758559,28.7535,339.54
1900,11,0.002670,76585,204,76482,3762401,49.13,59636,21474,0.3601,1697399,28.4625,336.05
1900,12,0.002935,76380,224,76268,3685918,48.26,58140,21318,0.3667,1637763,28.1694,332.53
1900,13,0.003153,76156,240,76036,3609650,47.40,56666,21151,0.3733,1579623,27.8761,329.01
1900,14,0.003355,75916,255,75789,3533614,46.55,55217,20977,0.3799,1522957,27.5812,325.47
1900,15,0.003673,75661,278,75522,3457826,45.70,53795,20796,0.3866,1467740,27.2842,321.91
1900,16,0.004149,75383,313,75227,3382303,44.87,52392,20602,0.3932,1413946,26.9878,318.35
1900,17,0.004676,75071,351,74895,3307076,44.05,51002,20390,0.3998,1361553,26.6963,314.86
1900,18,0.005233,74720,391,74524,3232181,43.26,49622,20157,0.4062,1310552,26.4108,311.43
1900,19,0.005797,74329,431,74113,3157657,42.48,48252,19903,0.4125,1260930,26.1320,308.08
1900,20,0.006421,73898,475,73660,3083544,41.73,46894,19630,0.4186,1212678,25.8599,304.82
1900,21,0.007024,73423,516,73165,3009884,40.99,45545,19335,0.4245,1165784,25.5961,301.65
1900,22,0.007445,72907,543,72636,2936719,40.28,44209,19023,0.4303,1120238,25.3398,298.58
1900,23,0.007616,72365,551,72089,2864083,39.58,42893,18701,0.4360,1076029,25.0864,295.54
1900,24,0.007606,71813,546,71540,2791994,38.88,41609,18381,0.4418,1033136,24.8294,292.45
1900,25,0.007526,71267,536,70999,2720453,38.17,40364,18072,0.4477,991527,24.5643,289.27
1900,26,0.007496,70731,530,70466,2649454,37.46,39160,17775,0.4539,951163,24.2891,285.97
1900,27,0.007554,70201,530,69936,2578988,36.74,37993,17488,0.4603,912003,24.0047,282.56
1900,28,0.007754,69670,540,69400,2509053,36.01,36858,17208,0.4669,874010,23.7129,279.06
1900,29,0.008057,69130,557,68852,2439652,35.29,35750,16928,0.4735,837152,23.4169,275.50
1900,30,0.008382,68573,575,68286,2370800,34.57,34665,16647,0.4802,801402,23.1188,271.93
1900,31,0.008670,67998,590,67704,2302515,33.86,33601,16363,0.4870,766738,22.8188,268.33
1900,32,0.008939,67409,603,67108,2234811,33.15,32561,16078,0.4938,733136,22.5158,264.69
1900,33,0.009172,66806,613,66500,2167703,32.45,31544,15793,0.5007,700575,22.2092,261.01
1900,34,0.009380,66194,621,65883,2101203,31.74,30552,15511,0.5077,669031,21.8979,257.27
1900,35,0.009603,65573,630,65258,2035320,31.04,29585,15230,0.5148,638479,21.5810,253.47
1900,36,0.009845,64943,639,64623,1970062,30.34,28642,14953,0.5220,608894,21.2585,249.60
1900,37,0.010077,64304,648,63980,1905439,29.63,27723,14677,0.5294,580251,20.9305,245.67
1900,38,0.010294,63656,655,63328,1841460,28.93,26826,14404,0.5369,552528,20.5964,241.66
1900,39,0.010510,63000,662,62669,1778132,28.22,25953,14134,0.5446,525702,20.2557,237.57
1900,40,0.010743,62338,670,62003,1715462,27.52,25103,13867,0.5524,499749,19.9078,233.39
1900,41,0.011015,61668,679,61329,1653459,26.81,24275,13604,0.5604,474645,19.5527,229.13
1900,42,0.011337,60989,691,60643,1592130,26.11,23468,13342,0.5685,450370,19.1908,224.79
1900,43,0.011722,60298,707,59944,1531487,25.40,22680,13082,0.5768,426902,18.8226,220.37
1900,44,0.012169,59591,725,59228,1471542,24.69,21911,12822,0.5852,404222,18.4488,215.89
1900,45,0.012677,58866,746,58493,1412314,23.99,21157,12562,0.5937,382311,18.0700,211.34
1900,46,0.013235,58120,769,57735,1353821,23.29,20419,12300,0.6023,361154,17.6868,206.74
1900,47,0.013832,57350,793,56954,1296086,22.60,19696,12035,0.6111,340735,17.2996,202.09
1900,48,0.014463,56557,818,56148,1239133,21.91,18987,11769,0.6199,321039,16.9083,197.40
1900,49,0.015146,55739,844,55317,1182984,21.22,18292,11501,0.6287,302052,16.5130,192.66
1900,50,0.015890,54895,872,54459,1127667,20.54,17610,11230,0.6377,283760,16.1139,187.87
1900,51,0.016732,54023,904,53571,1073209,19.87,16940,10956,0.6468,266150,15.7112,183.03
1900,52,0.017708,53119,941,52648,1019638,19.20,16282,10679,0.6559,249210,15.3056,178.17
1900,53,0.018841,52178,983,51687,966990,18.53,15634,10397,0.6650,232928,14.8985,173.28
1900,54,0.020114,51195,1030,50680,915303,17.88,14995,10109,0.6742,217293,14.4912,168.39
1900,55,0.021543,50165,1081,49625,864623,17.24,14363,9815,0.6833,202299,14.0848,163.52
1900,56,0.023065,49084,1132,48518,814998,16.60,13738,9512,0.6924,187936,13.6804,158.67
1900,57,0.024593,47952,1179,47363,766480,15.98,13119,9202,0.7015,174198,13.2784,153.84
1900,58,0.026088,46773,1220,46163,719117,15.37,12509,8887,0.7105,161079,12.8775,149.03
1900,59,0.027618,45553,1258,44924,672954,14.77,11908,8568,0.7195,148571,12.4761,144.21
1900,60,0.029303,44295,1298,43646,628030,14.18,11319,8247,0.7286,136662,12.0735,139.38
1900,61,0.031228,42997,1343,42326,584384,13.59,10740,7922,0.7376,125343,11.6702,134.54
1900,62,0.033395,41654,1391,40959,542059,13.01,10171,7595,0.7467,114602,11.2674,129.71
1900,63,0.035841,40263,1443,39542,501100,12.45,9610,7263,0.7557,104431,10.8665,124.90
1900,64,0.038578,38820,1498,38071,461559,11.89,9058,6926,0.7646,94821,10.4686,120.12
1900,65,0.041585,37322,1552,36546,423487,11.35,8512,6584,0.7735,85763,10.0751,115.40
1900,66,0.044879,35770,1605,34968,386941,10.82,7975,6238,0.7822,77251,9.6866,110.74
1900,67,0.048518,34165,1658,33336,351973,10.30,7446,5888,0.7908,69276,9.3039,106.15
1900,68,0.052527,32507,1708,31654,318637,9.80,6925,5535,0.7993,61830,8.9281,101.64
1900,69,0.056907,30800,1753,29924,286983,9.32,6414,5180,0.8075,54905,8.5601,97.22
1900,70,0.061824,29047,1796,28149,257060,8.85,5913,4823,0.8156,48491,8.2006,92.91
1900,71,0.067135,27251,1830,26337,228910,8.40,5423,4465,0.8235,42578,7.8517,88.72
1900,72,0.072536,25422,1844,24500,202574,7.97,4945,4110,0.8311,37155,7.5137,84.66
1900,73,0.077928,23578,1837,22659,178074,7.55,4483,3759,0.8385,32210,7.1847,80.72
1900,74,0.083538,21740,1816,20832,155415,7.15,4041,3417,0.8457,27727,6.8616,76.84
1900,75,0.089449,19924,1782,19033,134582,6.75,3620,3087,0.8529,23686,6.5431,73.02
1900,76,0.096175,18142,1745,17270,115549,6.37,3222,2771,0.8600,20066,6.2276,69.23
1900,77,0.104262,16397,1710,15542,98280,5.99,2847,2468,0.8670,16844,5.9169,65.50
1900,78,0.113999,14688,1674,13850,82737,5.63,2493,2178,0.8737,13997,5.6155,61.89
1900,79,0.125035,13013,1627,12200,68887,5.29,2159,1900,0.8802,11505,5.3291,58.45
1900,80,0.136917,11386,1559,10607,56687,4.98,1846,1636,0.8862,9346,5.0616,55.24
1900,81,0.149054,9827,1465,9095,46080,4.69,1558,1389,0.8918,7499,4.8141,52.27
1900,82,0.161175,8362,1348,7689,36986,4.42,1296,1162,0.8969,5942,4.5853,49.52
1900,83,0.173025,7015,1214,6408,29297,4.18,1062,958,0.9017,4646,4.3725,46.97
1900,84,0.184855,5801,1072,5265,22889,3.95,859,778,0.9062,3583,4.1719,44.56
1900,85,0.197067,4729,932,4263,17625,3.73,684,623,0.9105,2724,3.9807,42.27
1900,86,0.209980,3797,797,3398,13362,3.52,537,491,0.9146,2040,3.7977,40.07
1900,87,0.223760,2999,671,2664,9964,3.32,415,381,0.9186,1503,3.6228,37.97
1900,88,0.238407,2328,555,2051,7300,3.14,315,290,0.9223,1088,3.4565,35.98
1900,89,0.253781,1773,450,1548,5249,2.96,234,217,0.9258,773,3.2997,34.10
1900,90,0.269703,1323,357,1145,3701,2.80,171,159,0.9291,539,3.1526,32.33
1900,91,0.285976,966,276,828,2556,2.65,122,114,0.9322,368,3.0154,30.69
1900,92,0.302410,690,209,586,1728,2.50,85,80,0.9351,246,2.8875,29.15
1900,93,0.318835,481,153,405,1142,2.37,58,54,0.9378,161,2.7680,27.72
1900,94,0.335097,328,110,273,738,2.25,39,36,0.9403,103,2.6553,26.36
1900,95,0.352121,218,77,180,465,2.13,25,24,0.9427,64,2.5468,25.06
1900,96,0.369939,141,52,115,285,2.02,16,15,0.9451,39,2.4424,23.81
1900,97,0.388584,89,35,72,170,1.91,10,9,0.9473,23,2.3420,22.60
1900,98,0.408092,54,22,43,98,1.81,6,6,0.9495,13,2.2454,21.44
1900,99,0.428496,32,14,25,55,1.71,3,3,0.9516,7,2.1524,20.33
1900,100,0.449921,18,8,14,30,1.61,2,2,0.9536,4,2.0627,19.25
1900,101,0.472417,10,5,8,15,1.52,1,1,0.9556,2,1.9764,18.22
1900,102,0.496038,5,3,4,8,1.43,1,1,0.9574,1,1.8932,17.22
1900,103,0.520840,3,1,2,4,1.35,0,0,0.9592,0,1.8132,16.26
1900,104,0.546882,1,1,1,2,1.26,0,0,0.9610,0,1.7362,15.33
1900,105,0.574226,1,0,0,1,1.19,0,0,0.9626,0,1.6621,14.45
1900,106,0.602937,0,0,0,0,1.11,0,0,0.9642,0,1.5909,13.59
1900,107,0.633084,0,0,0,0,1.04,0,0,0.9658,0,1.5225,12.77
1900,108,0.664738,0,0,0,0,0.97,0,0,0.9672,0,1.4567,11.98
1900,109,0.697975,0,0,0,0,0.91,0,0,0.9687,0,1.3935,11.22
1900,110,0.732874,0,0,0,0,0.84,0,0,0.9700,0,1.3328,10.49
1900,111,0.769518,0,0,0,0,0.78,0,0,0.9713,0,1.2746,9.79
1900,112,0.807994,0,0,0,0,0.72,0,0,0.9726,0,1.2187,9.12
1900,113,0.848393,0,0,0,0,0.67,0,0,0.9738,0,1.1650,8.48
1900,114,0.890813,0,0,0,0,0.62,0,0,0.9750,0,1.1136,7.86
1900,115,0.935354,0,0,0,0,0.57,0,0,0.9761,0,1.0643,7.27
1900,116,0.982121,0,0,0,0,0.52,0,0,0.9771,0,1.0175,6.71
1900,117,1.000000,0,0,0,0,0.50,0,0,0.9775,0,1.0000,6.50
1900,118,1.000000,0,0,0,0,0.00,0,0,0.0000,0,0.0000,0.00
1900,119,1.000000,0,0,0,0,0.00,0,0,0.0000,0,0.0000,0.00
1901,0,0.128020,100000,12802,91204,4786867,47.87,100000,42024,0.4202,2578679,25.7868,303.94
1901,1,0.032822,87198,2862,85767,4695664,53.85,85237,29510,0.3462,2478679,29.0797,343.46
1901,2,0.016880,84336,1424,83624,4609897,54.66,80586,26775,0.3323,2393442,29.7003,350.90
1901,3,0.011680,82912,968,82428,4526273,54.59,77445,25445,0.3286,2312855,29.8646,352.87
1901,4,0.009325,81944,764,81562,4443845,54.23,74819,24561,0.3283,2235410,29.8774,353.03
1901,5,0.007020,81180,570,80895,4362283,53.74,72455,23879,0.3296,2160591,29.8197,352.34
1901,6,0.005207,80610,420,80400,4281388,53.11,70329,23382,0.3325,2088136,29.6910,350.79
1901,7,0.003885,80190,312,80034,4200988,52.39,68390,23024,0.3367,2017807,29.5045,348.55
1901,8,0.003040,79879,243,79757,4120953,51.59,66593,22764,0.3418,1949417,29.2738,345.79
1901,9,0.002622,79636,209,79531,4041196,50.75,64897,22566,0.3477,1882824,29.0123,342.65
1901,10,0.002542,79427,202,79326,3961665,49.88,63272,22400,0.3540,1817927,28.7319,339.28
1901,11,0.002676,79225,212,79119,3882339,49.00,61692,22243,0.3605,1754655,28.4420,335.80
1901,12,0.002885,79013,228,78899,3803220,48.13,60144,22081,0.3671,1692963,28.1485,332.28
1901,13,0.003072,78785,242,78664,3724320,47.27,58622,21912,0.3738,1632819,27.8533,328.74
1901,14,0.003260,78543,256,78415,3645656,46.42,57128,21736,0.3805,1574197,27.5555,325.17
1901,15,0.003546,78287,278,78148,3567241,45.57,55662,21554,0.3872,1517068,27.2552,321.56
1901,16,0.003966,78010,309,77855,3489093,44.73,54217,21361,0.3940,1461407,26.9546,317.96
1901,17,0.004446,77700,345,77528,3411238,43.90,52788,21150,0.4007,1407189,26.6573,314.39
1901,18,0.004971,77355,385,77163,3333710,43.10,51372,20921,0.4072,1354401,26.3646,310.88
1901,19,0.005518,76970,425,76758,3256548,42.31,49967,20671,0.4137,1303029,26.0776,307.43
1901,20,0.006121,76546,469,76311,3179790,41.54,48574,20402,0.4200,1253062,25.7967,304.06
1901,21,0.006707,76077,510,75822,3103478,40.79,47192,20111,0.4262,1204488,25.5233,300.78
1901,22,0.007144,75567,540,75297,3027656,40.07,45821,19802,0.4322,1157296,25.2567,297.58
1901,23,0.007374,75027,553,74750,2952359,39.35,44471,19482,0.4381,1111475,24.9932,294.42
1901,24,0.007452,74474,555,74196,2877609,38.64,43151,19161,0.4441,1067004,24.7274,291.23
1901,25,0.007474,73919,552,73643,2803413,37.93,41866,18847,0.4502,1023853,24.4553,287.96
1901,26,0.007536,73366,553,73090,2729770,37.21,40619,18541,0.4565,981987,24.1755,284.61
1901,27,0.007660,72813,558,72535,2656680,36.49,39407,18242,0.4629,941368,23.8885,281.16
1901,28,0.007889,72256,570,71971,2584146,35.76,38226,17947,0.4695,901961,23.5957,277.65
1901,29,0.008193,71686,587,71392,2512175,35.04,37071,17652,0.4762,863735,23.2992,274.09
1901,30,0.008518,71098,606,70796,2440783,34.33,35941,17355,0.4829,826664,23.0006,270.51
1901,31,0.008814,70493,621,70182,2369988,33.62,34834,17056,0.4896,790723,22.6999,266.90
1901,32,0.009073,69871,634,69554,2299805,32.91,33750,16756,0.4965,755889,22.3964,263.26
1901,33,0.009275,69237,642,68916,2230251,32.21,32692,16457,0.5034,722139,22.0890,259.57
1901,34,0.009443,68595,648,68271,2161335,31.51,31661,16160,0.5104,689446,21.7760,255.81
1901,35,0.009607,67947,653,67621,2093063,30.80,30657,15868,0.5176,657786,21.4565,251.98
1901,36,0.009805,67295,660,66965,2025442,30.10,29680,15580,0.5249,627129,21.1300,248.06
1901,37,0.010054,66635,670,66300,1958477,29.39,28728,15295,0.5324,597449,20.7968,244.06
1901,38,0.010372,65965,684,65623,1892177,28.68,27800,15013,0.5400,568721,20.4578,239.99
1901,39,0.010747,65281,702,64930,1826554,27.98,26893,14731,0.5478,540922,20.1140,235.87
1901,40,0.011162,64579,721,64219,1761624,27.28,26006,14449,0.5556,514029,19.7661,231.69
1901,41,0.011588,63858,740,63488,1697406,26.58,25137,14165,0.5635,488023,19.4144,227.47
1901,42,0.012007,63118,758,62739,1633917,25.89,24287,13880,0.5715,462886,19.0588,223.21
1901,43,0.012408,62361,774,61974,1571178,25.20,23456,13595,0.5796,438599,18.6986,218.88
1901,44,0.012809,61587,789,61192,1509204,24.51,22644,13311,0.5878,415143,18.3332,214.50
1901,45,0.013258,60798,806,60395,1448012,23.82,21852,13027,0.5962,392498,17.9619,210.04
1901,46,0.013770,59992,826,59579,1387617,23.13,21077,12744,0.6046,370646,17.5852,205.52
1901,47,0.014315,59166,847,58742,1328038,22.45,20320,12460,0.6132,349569,17.2035,200.94
1901,48,0.014893,58319,869,57885,1269296,21.76,19578,12176,0.6219,329250,16.8170,196.30
1901,49,0.015525,57450,892,57004,1211411,21.09,18853,11891,0.6307,309671,16.4254,191.60
1901,50,0.016217,56558,917,56100,1154407,20.41,18143,11605,0.6396,290818,16.0290,186.85
1901,51,0.017012,55641,947,55168,1098307,19.74,17448,11317,0.6486,272675,15.6281,182.04
1901,52,0.017968,54695,983,54203,1043139,19.07,16765,11027,0.6577,255227,15.2235,177.18
1901,53,0.019118,53712,1027,53198,988936,18.41,16094,10733,0.6669,238462,14.8169,172.30
1901,54,0.020437,52685,1077,52147,935738,17.76,15431,10432,0.6760,222368,14.4102,167.42
1901,55,0.021904,51608,1130,51043,883591,17.12,14776,10124,0.6851,206937,14.0048,162.56
1901,56,0.023465,50478,1184,49886,832548,16.49,14127,9807,0.6942,192160,13.6019,157.72
1901,57,0.025083,49293,1236,48675,782663,15.88,13486,9483,0.7032,178033,13.2015,152.92
1901,58,0.026734,48057,1285,47414,733988,15.27,12852,9152,0.7121,164547,12.8033,148.14
1901,59,0.028455,46772,1331,46107,686573,14.68,12227,8817,0.7211,151695,12.4064,143.38
1901,60,0.030355,45441,1379,44752,640467,14.09,11612,8476,0.7300,139468,12.0106,138.63
1901,61,0.032451,44062,1430,43347,595715,13.52,11006,8132,0.7388,127856,11.6164,133.90
1901,62,0.034672,42632,1478,41893,552368,12.96,10410,7783,0.7476,116850,11.2248,129.20
1901,63,0.037015,41154,1523,40392,510475,12.40,9823,7430,0.7564,106440,10.8357,124.53
1901,64,0.039532,39631,1567,38847,470083,11.86,9247,7075,0.7651,96617,10.4487,119.88
1901,65,0.042277,38064,1609,37259,431236,11.33,8682,6717,0.7737,87370,10.0638,115.27
1901,66,0.045330,36455,1652,35628,393976,10.81,8128,6358,0.7823,78688,9.6816,110.68
1901,67,0.048747,34802,1697,33954,358348,10.30,7585,5998,0.7908,70561,9.3030,106.14
1901,68,0.052576,33106,1741,32235,324394,9.80,7053,5637,0.7992,62976,8.9293,101.65
1901,69,0.056810,31365,1782,30474,292159,9.31,6532,5274,0.8075,55923,8.5618,97.24
1901,70,0.061702,29583,1825,28671,261684,8.85,6022,4912,0.8156,49391,8.2016,92.92
1901,71,0.067003,27758,1860,26828,233014,8.39,5524,4548,0.8235,43369,7.8517,88.72
1901,72,0.072215,25898,1870,24963,206186,7.96,5038,4187,0.8311,37846,7.5127,84.65
1901,73,0.077171,24028,1854,23101,181223,7.54,4569,3831,0.8385,32808,7.1811,80.67
1901,74,0.082246,22174,1824,21262,158122,7.13,4121,3486,0.8459,28240,6.8520,76.72
1901,75,0.087331,20350,1777,19461,136861,6.73,3697,3155,0.8533,24118,6.5231,72.78
1901,76,0.093470,18573,1736,17705,117399,6.32,3299,2839,0.8608,20421,6.1908,68.79
1901,77,0.102007,16837,1717,15978,99695,5.92,2923,2538,0.8683,17122,5.8577,64.79
1901,78,0.113557,15119,1717,14261,83717,5.54,2566,2247,0.8756,14199,5.5339,60.91
1901,79,0.127222,13402,1705,12550,69456,5.18,2223,1962,0.8824,11633,5.2324,57.29
1901,80,0.142168,11697,1663,10866,56906,4.86,1897,1685,0.8885,9410,4.9609,54.03
1901,81,0.156731,10034,1573,9248,46040,4.59,1591,1422,0.8938,7513,4.7235,51.18
1901,82,0.169728,8462,1436,7744,36792,4.35,1311,1178,0.8984,5923,4.5171,48.71
1901,83,0.180383,7025,1267,6392,29049,4.13,1064,960,0.9026,4611,4.3335,46.50
1901,84,0.189615,5758,1092,5212,22657,3.93,853,773,0.9065,3547,4.1607,44.43
